word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,affiliation,compound,pos,neg,neu,frequency,sentiment
reluctant,embrace,fundamental,strategic,facts,foundation,’,survey,afghan,people,Left,0.1,0.084,0.073,0.842,197,Positive
optimism,may,may,result,deceit,gelb,richard,betts,show,postmortem,Left,0.1,0.115,0.098,0.787,197,Positive
troop,numbers,swelled,pivoted,counterterrorism,eradication,counterinsurgency,state,building,planners,Left,0.0,0.0,0.0,1.0,3689,Neutral
michigan,’,oakland,county,executive,patterson,thought,apt,quite,recently,Left,0.0,0.0,0.0,1.0,3689,Neutral
narrative,topographical,description,louisiana,west,takes,stock,land,’,bounty,Left,0.0,0.0,0.0,1.0,3689,Neutral
united,states,entered,world,editors,time,life,magazines,published,joint,Left,0.4,0.101,0.0,0.899,762,Positive
sequestration,“,savages,”,represented,byrd,argues,integral,transit,development,Left,-0.7,0.0,0.214,0.786,128,Negative
home,time,magazine,magnate,henry,suggested,even,interventionist,sentiment,ran,Left,0.0,0.0,0.0,1.0,3689,Neutral
closer,home,decade,later,historian,black,recently,shown,engineers,department,Left,0.0,0.0,0.0,1.0,3689,Neutral
”,warned,“,dozen,equivalents,harbor,may,simultaneously,possible,problem,Left,-0.6,0.0,0.179,0.821,208,Negative
ever,since,political,theorist,aziz,noted,foundational,yet,unexamined,precept,Left,0.0,0.0,0.0,1.0,3689,Neutral
violent,elimination,spring,two,members,tribe,allegedly,robbed,murdered,virginia,Left,-0.9,0.0,0.257,0.743,43,Negative
forces,tense,stand,offs,thousands,supporters,blocking,construction,dakota,access,Left,-0.3,0.094,0.162,0.744,263,Negative
unproblematic,thinkers,madison,grant,lothrop,prominent,eugenicists,limitation,territories,future,Left,0.4,0.16,0.073,0.767,762,Positive
shawnee,tribe,allegedly,robbed,murdered,settler,thomas,jefferson,recounts,notes,Left,-0.7,0.0,0.15,0.85,128,Negative
special,operations,forces—fewer,october,another,december,following,year—to,train,equip,Left,0.4,0.097,0.0,0.903,762,Positive
post,world,territorial,settlement,britain,devised,carve,much,near,east,Left,0.0,0.0,0.0,1.0,3689,Neutral
majority,leader,mitch,mcconnell,senator,graham,parted,ways,him,trump,Left,0.0,0.0,0.0,1.0,3689,Neutral
authorization,act,fiscal,year,image,chasez,dodthe,barrage,attacks,followed,Left,-0.4,0.0,0.104,0.896,256,Negative
constitution,allows,’,way,crisis,,,,,,Left,-0.6,0.0,0.146,0.854,208,Negative
wages,adkins,children,’,hospital,kelley,social,reformer,led,battle,Left,-0.4,0.0,0.098,0.902,256,Negative
adkins,children,’,hospital,florence,social,reformer,led,battle,child,Left,-0.4,0.0,0.098,0.902,256,Negative
children,too—to,join,court,hearings,graham,noted,challenges,conservative,woman,Left,0.4,0.127,0.0,0.873,762,Positive
appointment,likely,shift,court,justice,bader,ginsburg,barely,buried,barrett,Left,0.5,0.12,0.0,0.88,520,Positive
questioned,assumption,rbg,’,replacement,barrett,’,senate,supporters,president,Left,0.4,0.11,0.053,0.837,762,Positive
’,early,view,georgia,north,republican,party,going,tempted,repeat,Left,0.4,0.101,0.0,0.899,762,Positive
strategy,thought,trump,would,follow,people,opportunity,vote,make,sure,Left,0.6,0.175,0.0,0.825,486,Positive
’,thirty,times,higher,spread,recall,would,difficult,win,flip,Left,0.3,0.13,0.085,0.785,433,Positive
recount,wisconsin,michigan,states,like,needs,stop,vote,counts,consistent,Left,0.1,0.087,0.077,0.836,197,Positive
convenient,way,voting,showing,person,november,’,going,get,higher,Left,0.0,0.0,0.0,1.0,3689,Neutral
increased,past,decade,consider,case,jenkins,illinois,police,officer,chased,Left,0.3,0.077,0.0,0.923,433,Positive
recognizes,defends,marital,exception,rape,harris,cynthia,lee,capture,dual,Left,-0.7,0.0,0.158,0.842,128,Negative
