word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,affiliation,compound,pos,neg,neu,frequency,sentiment
information,web,site,irish,actress,buckley,earned,bafta,turn,superb,Left,0.6,0.141,0.0,0.859,486,Positive
music,director,tomasz,his,pupil,kulig,across,borders,many,years,Left,0.0,0.0,0.0,1.0,3689,Neutral
daniel,kaluuya,his,screen,partner,turner,smith,give,remarkable,performances,Left,0.6,0.126,0.0,0.874,486,Positive
sharp,comedy,two,friends,amy,dever,molly,beanie,feldstein,reach,Left,0.7,0.226,0.0,0.774,455,Positive
harassment,theron,especially,brilliant,megyn,prosthetics,make,make,look,like,Left,0.5,0.199,0.106,0.695,520,Positive
brunt,parents,separation,jeff,daniels,linney,playing,parents,jesse,eisenberg,Left,0.2,0.067,0.0,0.933,321,Positive
satirists,leading,comics,like,hugh,capaldi,tilda,swinton,adding,rich,Left,0.7,0.203,0.0,0.797,455,Positive
james,baldwin,novel,trish,kiki,fights,free,falsely,accused,husband,Left,0.2,0.172,0.151,0.677,321,Positive
never,got,academy,award,nomination,scafaria,excellent,film,strobe,lit,Left,0.8,0.231,0.0,0.769,254,Positive
find,information,web,site,director,wang,first,shared,story,grandmother,Left,0.3,0.088,0.0,0.912,433,Positive
film,based,memoir,british,journalist,barber,jenny,brilliant,carey,mulligan,Left,0.6,0.132,0.0,0.868,486,Positive
site,charlize,theron,nicole,kidman,robbie,helm,retelling,roger,ailes,Left,0.0,0.0,0.0,1.0,3689,Neutral
life,gigantic,characters,around,label,twist,real,hacienda,factory,figures,Left,0.0,0.0,0.0,1.0,3689,Neutral
his,hometown,confront,his,past,williams,give,sublime,performance,lee,Left,-0.2,0.0,0.064,0.936,234,Negative
two,friends,amy,kaitlyn,dever,beanie,feldstein,reach,time,school,Left,0.5,0.149,0.0,0.851,520,Positive
information,web,site,charlize,theron,kidman,margot,robbie,helm,retelling,Left,0.0,0.0,0.0,1.0,3689,Neutral
works,like,girls,fleabag,booksmartactress,wilde,makes,directorial,debut,sharp,Left,0.4,0.091,0.0,0.909,762,Positive
resist,directed,todd,haynes,adapted,highsmith,novel,price,salt,carol,Left,0.3,0.084,0.0,0.916,433,Positive
find,information,web,site,emad,young,couple,living,tehran,iran,Left,0.0,0.0,0.0,1.0,3689,Neutral
able,find,information,web,site,bader,ginsburg,year,old,member,Left,0.0,0.0,0.0,1.0,3689,Neutral
strangers,linked,relationship,lonely,widow,goldfarb,sweet,sad,harry,plunging,Left,-0.4,0.095,0.177,0.728,256,Negative
like,christian,bale,michael,caine,johansson,hugh,jackman,even,david,Left,0.4,0.091,0.0,0.909,762,Positive
strong,ensemble,including,john,simm,henderson,paddy,considine,andy,serkis,Left,0.5,0.117,0.0,0.883,520,Positive
able,find,information,web,site,coppola,homage,japan,captures,vivid,Left,0.0,0.0,0.0,1.0,3689,Neutral
message,prevent,deaths,thousands,comrades,british,cast,includes,names,benedict,Left,0.0,0.042,0.0,0.958,3689,Neutral
italy,time,story,focuses,musician,swinton,receives,unexpected,visit,ex,Left,0.0,0.0,0.0,1.0,3689,Neutral
seventies,harlem,james,baldwin,novel,kiki,layne,fights,free,falsely,Left,0.4,0.179,0.086,0.735,762,Positive
his,partner,emily,played,film,kazan,balancing,laugh,loud,moments,Left,0.7,0.2,0.0,0.8,455,Positive
sail,fifties,brooklyn,rocky,start,falls,love,sheds,past,she,Left,0.6,0.144,0.0,0.856,486,Positive
career,starring,felicity,jones,rbg,ginsburg,lead,fight,gender,discrimination,Left,-0.4,0.0,0.094,0.906,256,Negative
novel,ronan,plays,eilis,irish,sets,sail,fifties,brooklyn,rocky,Left,0.5,0.152,0.0,0.848,520,Positive
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
precise,methodical,even,warmness,gold,gold,dress,watch,instead,made,Left,0.5,0.146,0.0,0.854,520,Positive
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
leather,sole,essentially,discounts,classic,boots,’,ok,lot,sake,Left,0.3,0.084,0.0,0.916,433,Positive
look,ace,blue,jeans,little,perfect,pair,black,better,bet,Left,0.7,0.208,0.0,0.792,455,Positive
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
cent,perfect,multicoloured,eyelets,like,beaker,would,wear,maybe,cost,Left,0.7,0.205,0.0,0.795,455,Positive
eighties,jfk,jr,michael,jordan,crawford,princess,diana,sportswear,meets,Left,0.0,0.0,0.0,1.0,3689,Neutral
michael,jordan,cindy,crawford,princess,sportswear,meets,denim,meets,new,Left,0.0,0.0,0.0,1.0,3689,Neutral
year,teddy,santis,aimé,leon,teamed,porsche,restore,reimagine,carrera,Left,0.3,0.081,0.0,0.919,433,Positive
partnership,mercedes,unveiled,opinions,mixed,bosworth,among,luminaries,loved,taking,Left,0.6,0.135,0.0,0.865,486,Positive
meets,new,balance,meets,ralph,vibe,big,right,ald,sports,Left,0.0,0.0,0.0,1.0,3689,Neutral
peugeot,special,edition,armani,teamed,clk,elsewhere,ermenegildo,zegna,maseratis,Left,0.4,0.097,0.0,0.903,762,Positive
ridden,collab,boom,previously,partnering,birkenstock,versace,adidas,tommy,hilfiger,Left,0.0,0.0,0.0,1.0,3689,Neutral
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
peer,group,’,lexicon,longer,dress,archetype,sex,symbol,genuine,Left,0.0,0.0,0.0,1.0,3689,Neutral
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
’,bit,like,garms,’,existence,trends,’,think,certain,Left,0.6,0.18,0.0,0.82,486,Positive
television,somehow,makes,better,everyone,original,poster,leon,professional,wall,Left,0.6,0.178,0.0,0.822,486,Positive
unnerving,honest,like,dressing,like,league,professor,could,scale,capitan,Left,0.8,0.265,0.0,0.735,254,Positive
reissues,see,adidas,’,superstar,’,cortez,reebok,’,instapump,Left,0.0,0.0,0.0,1.0,3689,Neutral
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
doldrums,sometimes,get,company,cold,really,good,viral,product,whitethey,Left,0.5,0.113,0.0,0.887,520,Positive
films,including,forthcoming,time,released,along,bond,powers,including,long,Left,0.0,0.0,0.0,1.0,3689,Neutral
powers,including,long,time,producers,broccoli,michael,g,wilson,time,Left,0.0,0.0,0.0,1.0,3689,Neutral
seen,every,episode,fresh,prince,air,”,malek,describes,himself,Left,0.3,0.087,0.0,0.913,433,Positive
lounge,hour,interview,mysterious,blonde,small,comes,sits,opposite,us,Left,0.0,0.0,0.0,1.0,3689,Neutral
egyptian,vampire,twilight,saga,breaking,—,part,another,example,rami,Left,0.0,0.0,0.0,1.0,3689,Neutral
quite,like,idea,sitting,everyone,watching,reactions,first,time,”,Left,0.4,0.104,0.0,0.896,762,Positive
“,outstanding,lead,actor,”,awards,“,his,work,ethic,Left,0.8,0.25,0.0,0.75,254,Positive
us,uncomfortably,close,guest,avid,agent,spectre,relocate,table,conservatory,Left,-0.1,0.076,0.093,0.83,152,Negative
seventies,twins,’,older,sister,doctor,born,’,history,performing,Left,0.0,0.0,0.0,1.0,3689,Neutral
ankle,surgery,accident,filming,jamaica,controlled,explosion,pinewood,studios,proved,Left,-0.5,0.0,0.11,0.89,272,Negative
new,york,london,his,girlfriend,boynton,bohemian,rhapsody,—,she,Left,0.0,0.0,0.0,1.0,3689,Neutral
actress,léa,seydoux,reprises,role,swann,british,bond,newcomer,lashana,Left,0.0,0.0,0.0,1.0,3689,Neutral
college,grantham,lincolnshire,“,birthplace,thatcher,isaac,newton,went,school,Left,0.0,0.0,0.0,1.0,3689,Neutral
freddie,mercury,’,girlfriend,confidante,austin,—,south,london,speaks,Left,0.0,0.0,0.0,1.0,3689,Neutral
father,said,sold,insurance,mother,accountant,born,egypt,“,humble,Left,0.0,0.0,0.0,1.0,3689,Neutral
bond,newcomer,lashana,lynch,plays,rival,“,”,spy,whole,Left,0.2,0.08,0.0,0.92,321,Positive
him,audition,monologue,essentially,two,rant,society,ready,rewrite,script,Left,0.0,0.087,0.083,0.83,3689,Neutral
describe,outcome,discussions,fleabag,writer,waller,bridge,brought,help,script,Left,0.4,0.097,0.0,0.903,762,Positive
esquirestyling,james,sleaford,styling,assistant,clarkphotographer,dexter,navy,assistants,tyrell,Left,0.0,0.0,0.0,1.0,3689,Neutral
freddie,mercury,biopic,first,announced,baron,cohen,lead,role,left,Left,0.0,0.0,0.0,1.0,3689,Neutral
time,rami,malek,year,old,long,running,amazon,prime,series,Left,0.2,0.064,0.0,0.936,321,Positive
£,black,leather,loafers,£,westwood,grey,leather,shirt,£,Left,0.1,0.052,0.0,0.948,197,Positive
lucy,boynton,bohemian,rhapsody,—,played,freddie,mercury,’,girlfriend,Left,0.3,0.094,0.0,0.906,433,Positive
people,challenging,wrote,second,book,lots,stuff,happened,since,united,Left,0.5,0.155,0.0,0.845,520,Positive
system,racism,people,admire,whether,roberts,kimberly,crenshaw,imani,perry,Left,-0.2,0.099,0.131,0.769,234,Negative
people,admire,whether,dorothy,roberts,crenshaw,imani,perry,know,many,Left,0.5,0.11,0.0,0.89,520,Positive
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
would,watch,monaco,’,matches,time,japan,invite,manage,arsenal,Left,0.2,0.062,0.0,0.938,321,Positive
business,practises,especially,his,role,ligue,“,would,sometimes,drive,Left,0.0,0.0,0.0,1.0,3689,Neutral
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
,,,,,,,,,,Left,0.0,0.0,0.0,1.0,3689,Neutral
angosturan,bitters,orange,slice,bloody,vodka,tomato,juice,lemon,juice,Left,-0.5,0.0,0.152,0.848,272,Negative
widely,available,pubs,opt,brewdog,state,heineken,rise,amount,alcohol,Left,0.0,0.0,0.0,1.0,3689,Neutral
refer,cocktails,low,fat,mixers,ensure,’,pulling,together,shop,Left,0.1,0.094,0.076,0.83,197,Positive
step,way,inside,wahl,branded,case,find,quality,frills,cordless,Left,0.0,0.0,0.0,1.0,3689,Neutral
extras,clipper,lengths,price,everything,sort,preference,get,best,hair,Left,0.6,0.144,0.0,0.856,486,Positive
execute,detailed,haircuts,lockdown,buzzcut,cueball,look,comes,gillette,fusion5,Left,0.0,0.0,0.0,1.0,3689,Neutral
longer,expected,delivery,times,update,regularly,find,even,better,deals,Left,0.4,0.104,0.0,0.896,762,Positive
last,bit,hair,always,spot,notice,second,leave,house,stop,Left,-0.3,0.0,0.124,0.876,263,Negative
readers,might,interested,see,playing,upcoming,netflix,movie,dolly,parton,Left,0.5,0.158,0.0,0.842,520,Positive
promote,literacy,america,participating,authorities,ireland,uk,including,attest,london,Left,0.4,0.094,0.0,0.906,762,Positive
–,single,handedly,admittedly,given,,,,,,Left,0.0,0.0,0.0,1.0,3689,Neutral
knitting,bobble,hats,pangolins,speak,fonda,co,star,comedy,tells,Left,0.4,0.091,0.0,0.909,762,Positive
string,super,hits,including,“,”,“,”,“,always,Left,0.6,0.163,0.0,0.837,486,Positive
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
pangolins,speak,jane,fonda,co,comedy,tells,film,makers,oh,Left,0.4,0.091,0.0,0.909,762,Positive
parton,’,christmas,square,november,fireman,getty,imagesbut,know,she,Left,0.0,0.0,0.0,1.0,3689,Neutral
’,churning,new,songs,–,estimated,around,–,tottering,stage,Left,0.0,0.0,0.0,1.0,3689,Neutral
coronapocalypse,–,single,handedly,admittedly,,,,,,Left,0.0,0.0,0.0,1.0,3689,Neutral
always,love,”,later,recorded,houston,“,’,song,’,Left,0.6,0.167,0.0,0.833,486,Positive
song,’,definitely,record,”,tells,documentary,makers,“,she,Left,0.4,0.109,0.0,0.891,762,Positive
political,message,song,“,’,”,sample,lyric,“,mistakes,Left,-0.4,0.0,0.106,0.894,256,Negative
maintained,third,party,imported,onto,help,users,provide,email,addresses,Left,0.7,0.184,0.0,0.816,455,Positive
protect,his,father,sure,killed,ran,hammer,dishwasher,twice,destroy,Left,-0.6,0.14,0.229,0.63,208,Negative
family,country,pad,shortly,arriving,content,imported,youtube,may,able,Left,0.0,0.0,0.0,1.0,3689,Neutral
violin,bag,whole,family,plus,gather,franklin,grand,living,room,Left,0.5,0.107,0.0,0.893,520,Positive
leaving,police,arrest,him,warrick,hbothough,grace,story,unreliable,felt,Left,0.1,0.096,0.082,0.822,197,Positive
slowly,drawn,grace,appears,momentarily,dropped,grace,she,leaving,court,Left,0.7,0.189,0.0,0.811,455,Positive
get,anything,stock,characters,franklin,even,hayley,none,truly,surprising,Left,-0.1,0.074,0.084,0.842,152,Negative
fingers,possible,direction,hayley,says,really,tell,destroy,weapon,many,Left,-0.7,0.0,0.192,0.808,128,Negative
baby,could,grace,somehow,taking,franklin,spin,chess,art,galleries,Left,0.4,0.101,0.0,0.899,762,Positive
jacquelyn,got,job,teacher,saint,’,private,school,brooklyn,heights,Left,0.0,0.0,0.0,1.0,3689,Neutral
line,dave,’,got,talk,b,minute,choreography,thing,amazing,Left,0.6,0.142,0.0,0.858,486,Positive
lived,whole,lives,north,america—first,baltimore,boy,byrne,set,shedding,Left,0.0,0.0,0.0,1.0,3689,Neutral
david,show,mention,going,north,registering,people,vote,sensing,db,Left,0.0,0.0,0.0,1.0,3689,Neutral
growth,life,byrne,his,apartment,neighborhood,manhattan,beer,hand,lee,Left,0.7,0.195,0.0,0.805,455,Positive
concerts,cover,song,’,done,waters,whitney,houston,missy,elliott—sl,Left,0.0,0.0,0.0,1.0,3689,Neutral
reporter,brought,his,attention,rather,defend,byrne,announced,revelation,himself,Left,0.0,0.0,0.0,1.0,3689,Neutral
choreography,movement,feel,like,everyone,considers,dancer,’,consider,dancer,Left,0.4,0.094,0.0,0.906,762,Positive
engineer,amateur,painter,his,wife,schoolteacher,peace,activist,catholic,she,Left,0.5,0.123,0.0,0.877,520,Positive
’,music,scene,andy,warhol,talking,heads,premiered,live,two,Left,0.0,0.0,0.0,1.0,3689,Neutral
personality,’,trying,fred,astaire,kelly,db,yes,realized,’,Left,0.4,0.105,0.0,0.895,762,Positive
george,floyd,’,brother,jogging,db,ahmaud,arbery,sl,’,Left,0.0,0.0,0.0,1.0,3689,Neutral
show,progresses,like,byrne,dressed,suits,shoes,socks,’,stripped,Left,0.4,0.094,0.0,0.906,762,Positive
work,dried,lee,’,mother,got,job,teacher,saint,ann,Left,0.0,0.0,0.0,1.0,3689,Neutral
even,poignant,original,’,cover,monáe,’,“,hell,talmbout,Left,-0.5,0.082,0.165,0.753,272,Negative
’,trying,fred,astaire,gene,db,yes,realized,’,never,Left,0.4,0.105,0.0,0.895,762,Positive
manhattan,beer,hand,lee,his,’,vineyard,home,kehinde,wiley,Left,0.5,0.118,0.0,0.882,520,Positive
playing,likes,bob,dylan,paul,gordon,lightfoot,dylan,went,electric,Left,0.6,0.161,0.0,0.839,486,Positive
done,crystal,waters,whitney,houston,elliott—sl,hold,presses,whitney,houston,Left,0.0,0.0,0.0,1.0,3689,Neutral
works,recently,started,website,see,american,utopia,his,second,musical,Left,0.0,0.0,0.0,1.0,3689,Neutral
corner,loft,bar,called,cbgb,smith,ramones,inspired,ideas,fomenting,Left,0.5,0.113,0.0,0.887,520,Positive
stage,bowery,dive,chris,frantz,weymouth—two,friends,college—formed,band,hobby,Left,0.5,0.11,0.0,0.89,520,Positive
stolen,mother,africa,brought,jamestown,points,shackled,recently,kenosha,wisconsin,Left,-0.5,0.0,0.113,0.887,272,Negative
song,’,done,crystal,waters,houston,missy,elliott—sl,hold,presses,Left,0.0,0.0,0.0,1.0,3689,Neutral
lee,released,his,first,feature,’,got,band,banked,six,Left,0.0,0.0,0.0,1.0,3689,Neutral
similar,bills,past,september,senator,warren,representative,ayanna,pressley,colleagues,Left,0.0,0.0,0.0,1.0,3689,Neutral
suicide,black,women,virtually,anywhere,country,likely,pregnancies,fetal,death,Left,-0.9,0.0,0.259,0.741,43,Negative
convinced,liked,church,requirement,joining,slacks,bottom,half,john,suit,Left,0.7,0.186,0.0,0.814,455,Positive
”,she,’,say,vivienne,young,’,final,year,earth,Left,0.0,0.0,0.0,1.0,3689,Neutral
dinner,she,named,vivien,leigh—my,’,favorite,actress—but,spelled,vivienne,Left,0.5,0.111,0.0,0.889,520,Positive
politicians,sincere,performing,attaboys,line,’,s—to,regurgitate,findings,pledge,Left,0.4,0.101,0.0,0.899,762,Positive
part,root,way,’,able,new,york,rent,six,hundred,Left,0.0,0.0,0.0,1.0,3689,Neutral
connect,even,cheated,introduced,steely,morrison,banded,collars,chicken,cacciatore,Left,-0.5,0.0,0.117,0.883,272,Negative
high,anxiety,dinner,she,named,leigh—my,nana,’,favorite,actress—but,Left,0.3,0.108,0.061,0.83,433,Positive
sneeze,”,she,’,say,leigh,young,’,final,year,Left,0.0,0.0,0.0,1.0,3689,Neutral
women,worst,cities,america,’,,,,,,Left,-0.6,0.0,0.146,0.854,208,Negative
treatment,effort,she,another,black,she,another,black,woman,treated,Left,0.0,0.0,0.0,1.0,3689,Neutral
him,dragged,him,back,around,gallagher,tempe,police,officer,assigned,Left,-0.1,0.0,0.046,0.954,152,Negative
wall,”,joey,told,“,rang,said,‘,see,later,Left,0.0,0.0,0.0,1.0,3689,Neutral
high,poverty,suicides,”,perry,queen,creek,school,district,superintendent,Left,-0.5,0.0,0.121,0.879,272,Negative
fast,food,joints,“,sounds,’,place,everyone,least,knows,Left,0.0,0.0,0.0,1.0,3689,Neutral
body,another,queen,creek,mother,bencomo,received,call,school,rudy,Left,0.0,0.0,0.0,1.0,3689,Neutral
suicide,awareness,program,backed,mayor,daniels,young,mother,four,committed,Left,-0.5,0.104,0.147,0.749,272,Negative
tweeted,upon,his,return,“,attempted,suicide,went,behavioral,hospital,Left,-0.7,0.0,0.158,0.842,128,Negative
attention,saying,wanted,help,”,mcpherson,resident,nearby,chandler,told,Left,0.4,0.101,0.0,0.899,762,Positive
warnock,’,forthcoming,his,mother,english,teacher,nearby,high,school,Left,0.0,0.0,0.0,1.0,3689,Neutral
exist,beyond,chance,’,”,gould,psychiatric,epidemiologist,coauthored,paper,Left,0.2,0.08,0.0,0.92,321,Positive
lorie,warnock,approached,state,legislator,epstein,request,she,sponsor,bill,Left,0.0,0.0,0.0,1.0,3689,Neutral
talking,point,schools,area,front,time,time,”,class,trip,Left,0.0,0.0,0.0,1.0,3689,Neutral
himself,grainy,photographs,his,mother,kept,around,east,valley,home,Left,0.0,0.0,0.0,1.0,3689,Neutral
adults,’,understand,’,”,stolworthy,corona,student,tyler,’,Left,0.0,0.0,0.0,1.0,3689,Neutral
temple,“,help,help,”,repeated,“,’,”,marcus,Left,0.7,0.221,0.0,0.779,455,Positive
warnock,spoke,made,point,introduce,warnock,turn,asked,mcpherson,accompany,Left,0.0,0.0,0.0,1.0,3689,Neutral
”,“,known,much,’,him,”,“,feel,days,Left,0.0,0.0,0.0,1.0,3689,Neutral
became,unfortunately,‘,katey,suicide,’,”,mcpherson,told,obituaries,Left,-0.8,0.0,0.247,0.753,93,Negative
wanting,see,monks,getting,along,gethsemane,visit,distilleries,see,happy,Left,0.6,0.129,0.0,0.871,486,Positive
donald,calhoun,himself,pretty,fair,way,back,tell,booker,hungry,Left,0.7,0.186,0.0,0.814,455,Positive
still,chewing,fish,trying,work,flour,force,bag,shrimp,holding,Left,0.0,0.0,0.0,1.0,3689,Neutral
making,beam,bourbon,whiskey,“,”,booker,says,“,else,Left,0.0,0.0,0.0,1.0,3689,Neutral
sitting,obtuse,vaguely,superior,air,somebody,moving,hills,hollows,near,Left,0.5,0.123,0.0,0.877,520,Positive
first,toddy,night,she,wearing,stockings,calf,leather,shoes,fine,Left,0.2,0.067,0.0,0.933,321,Positive
store,old,boy,overalls,blue,cap,talking,toddy,beam,dame,Left,0.0,0.0,0.0,1.0,3689,Neutral
food,tavern,fellow,owns,jack,booker,likes,great,oak,tables,Left,0.8,0.223,0.0,0.777,254,Positive
shoes,fine,blue,print,dress,white,collar,she,eighty,something,Left,0.2,0.067,0.0,0.933,321,Positive
behind,shed,time,booker,’,pile,grew,like,tumor,his,Left,-0.0,0.089,0.093,0.819,3689,Neutral
’,jeremiah,children,mildred,children,booker,’,mother,towns,cities,Left,0.0,0.0,0.0,1.0,3689,Neutral
eighty,three,called,his,wife,montgomery,room,asked,she,thought,Left,0.0,0.0,0.0,1.0,3689,Neutral
three,young,’,jeremiah,children,children,margaret,booker,’,mother,Left,0.0,0.0,0.0,1.0,3689,Neutral
wilderness,road,cumberland,gap,backwoods,onto,frontier,trail,daniel,boone,Left,0.0,0.0,0.0,1.0,3689,Neutral
thing,annis,booker,’,wife,would,known,put,mustard,annis,Left,0.0,0.0,0.0,1.0,3689,Neutral
teeth,pretending,dirty,like,rug,margaret,beam,daughter,colonel,himself,Left,0.0,0.131,0.097,0.772,3689,Neutral
redneck,bars—the,mallard,duck,caboose,opera,singer,filled,part,time,Left,0.0,0.0,0.0,1.0,3689,Neutral
comes,brandishing,gun,shoots,his,shoots,himself,girl,lives,booker,Left,-0.3,0.0,0.088,0.912,263,Negative
distilling,apparatus,back,loaded,his,two,young,’,mess,foodstuff,Left,-0.4,0.0,0.094,0.906,256,Negative
woven,legends,myths,religious,fantasies,william,tell,said,varieties,almost,Left,0.0,0.0,0.0,1.0,3689,Neutral
add,little,cinnamon,jigger,good,bourbon,stir,well,make,light,Left,0.6,0.172,0.0,0.828,486,Positive
finely,sliced,tart,apples,seasoned,upper,lower,crust,traditional,pie,Left,-0.3,0.0,0.081,0.919,263,Negative
°,line,pan,heap,apples,generously,butter,cover,top,crust,Left,0.6,0.167,0.0,0.833,486,Positive
beautiful,tree,boon,us,spite,’,slip,tongue,intricately,woven,Left,0.1,0.129,0.112,0.759,197,Positive
standard,guide,like,mrs,rombauer,farmer,roll,decent,crust,real,Left,0.4,0.091,0.0,0.909,762,Positive
usually,meat,vegetables,call,turnover,tarte,tart,topless,unashamed,except,Left,0.0,0.0,0.0,1.0,3689,Neutral
glaze,interesting,even,significant,mrs,rombauer,whose,joy,cooking,staunchly,Left,0.8,0.265,0.0,0.735,254,Positive
joy,cooking,staunchly,american,mrs,beeton,’,book,household,management,Left,0.6,0.137,0.0,0.863,486,Positive
oven,’,mention,brandy,aunt,president,w,asks,pie,tasty,Left,0.0,0.0,0.0,1.0,3689,Neutral
apples,feel,tender,speared,peekhole,adds,casual,asides,basically,plain,Left,0.2,0.067,0.0,0.933,321,Positive
good,look,standard,guide,like,rombauer,fanny,farmer,roll,decent,Left,0.7,0.184,0.0,0.816,455,Positive
apple,pie,good,like,little,curl,middle,forehead,since,possibilities,Left,0.7,0.184,0.0,0.816,455,Positive
expectant,next,time,excellent,digestion,eminent,branch,gastronomical,therapy,tells,Left,0.6,0.129,0.0,0.871,486,Positive
show,us,fly,bodily,mind,soyer,proved,natural,gas,would,Left,0.4,0.091,0.0,0.909,762,Positive
newport,beach,san,diego,santa,list,fairly,simple,quality,apparently,Left,0.0,0.0,0.0,1.0,3689,Neutral
dignity,family,paper,came,christmas,drawing,called,firm,ornamented,printing,Left,0.4,0.097,0.0,0.903,762,Positive
meal,appetizing,diehards,like,messier,foil,things,soup,splashing,around,Left,0.4,0.091,0.0,0.909,762,Positive
food,provided,average,frozen,meal,third,level,patrons,galloping,ready,Left,0.4,0.091,0.0,0.909,762,Positive
gossip,items,classical,fillers,full,illustration,little,boy,drew,something,Left,-0.2,0.0,0.064,0.936,234,Negative
admit,brought,two,never,refunded,four,subscribers,jewels,inadvertent,wit,Left,0.6,0.167,0.0,0.833,486,Positive
appraised,submitted,cold,eyes,mother,bluntly,almost,grownup,asked,matter,Left,0.0,0.042,0.0,0.958,3689,Neutral
lady,manages,feed,equally,ancient,called,dinner,likes,meat,she,Left,0.4,0.101,0.0,0.899,762,Positive
aluminum,clean,know,another,old,manages,feed,equally,ancient,herself,Left,0.4,0.097,0.0,0.903,762,Positive
perhaps,suggested,eyes,smile,little,took,back,picture,left,dignity,Left,0.6,0.178,0.0,0.822,486,Positive
died,she,newest,andy,warhol,,,,,,Left,-0.6,0.0,0.126,0.874,208,Negative
run,away,suburban,drek,santa,new,york,hopes,seeing,andy,Left,0.4,0.101,0.0,0.899,762,Positive
arcade,wayne,county,decarlo,lotts,boop,candy,darling,assorted,freaks,Left,0.5,0.13,0.048,0.822,520,Positive
part,factory,circle,andy,gave,away,four,morning,bridal,feast,Left,0.0,0.0,0.0,1.0,3689,Neutral
county,decarlo,lotts,betty,boop,darling,assorted,freaks,heads,hustlers,Left,0.5,0.13,0.048,0.822,520,Positive
warhol,superchild,his,troubles,dead,sedgewick,’,bruce,pecheur,another,Left,-0.8,0.0,0.241,0.759,93,Negative
bubble,bath,scene,movie,starring,woodlawn,holly,another,warhol,superchild,Left,0.0,0.0,0.0,1.0,3689,Neutral
’,following,wedding,warhol,superstar,curtis,wedding,gown,stuart,lichtenstein,Left,0.0,0.0,0.0,1.0,3689,Neutral
still,like,flowers,new,dresses,cats,”,candy,said,“,Left,0.4,0.098,0.0,0.902,762,Positive
’,vision—lou,reed,larry,rivers,arcade,wayne,county,decarlo,lotts,Left,0.0,0.0,0.0,1.0,3689,Neutral
she,played,strung,bisexual,daughter,miles,movie,andrea,rattled,hysterically,Left,0.3,0.088,0.0,0.912,433,Positive
likes,see,naked,almost,murdered,solanis,’,gun,astonished,alive,Left,0.1,0.232,0.189,0.579,197,Positive
’,superstars,among,latest,she,,,,,,Left,0.0,0.0,0.0,1.0,3689,Neutral
pain,stand,banquette,shove,fork,she,shout,bride,jackie,“,Left,-0.5,0.0,0.121,0.879,272,Negative
skin,grey,candy,boy,became,superstar,“,still,like,flowers,Left,0.4,0.139,0.0,0.861,762,Positive
bridal,feast,july,saw,young,eyes,wild,pain,stand,banquette,Left,-0.5,0.0,0.117,0.883,272,Negative
awake,listening,iv,pump,turned,display,wall,’,help,lay,Left,0.4,0.101,0.0,0.899,762,Positive
help,she,said,“,’,doll,move,limb,time,”,Left,0.4,0.109,0.0,0.891,762,Positive
get,worse,“,put,backpack,chemo,ward,’,means,getting,Left,-0.5,0.0,0.119,0.881,272,Negative
knows,’,stay,”,would,yet,another,delirious,fantasy—of,going,Left,0.0,0.0,0.0,1.0,3689,Neutral
she,said,“,’,barbie,move,limb,time,”,lifted,Left,0.0,0.0,0.0,1.0,3689,Neutral
signals,mind,body,along,everything,physical,world,hallucinations,disturbed,dane,Left,-0.4,0.0,0.094,0.906,256,Negative
woke,dressed,fed,girls,molly,ten,seven,helped,homework,scheduled,Left,0.0,0.0,0.0,1.0,3689,Neutral
could,draw,herself,present,model,fearlessness—the,online,forums,facebook,sentiments,Left,0.0,0.0,0.0,1.0,3689,Neutral
house,night,night,christmas,pug,threw,something,black,putrid,floor,Left,0.0,0.0,0.0,1.0,3689,Neutral
compared,would,told,family,counselor,knew,things,would,get,worse,Left,-0.5,0.0,0.11,0.89,272,Negative
poise—but,alone,she,cut,without,words,dane,saved,said,“,Left,-0.1,0.097,0.142,0.761,152,Negative
rest,woke,dressed,fed,girls,evangeline,ten,seven,helped,homework,Left,0.0,0.0,0.0,1.0,3689,Neutral
maybe,never,get,maybe,let,thirty,four,doctor,direct,“,Left,0.0,0.0,0.0,1.0,3689,Neutral
weeks,even,days,time,she,magnificent,behold,came,hidden,price,Left,0.6,0.135,0.0,0.865,486,Positive
died,stretched,shrank,stretched,like,grief,hollowed,expected,underneath,felt,Left,-0.6,0.077,0.211,0.712,208,Negative
voice,shook,remember,wife,calling,still,sedation,image,hospital,floor,Left,-0.1,0.0,0.053,0.947,152,Negative
