,Left Political,Left Emotional,Right Political,Right Emotional,Window Size
0,31370,38357,29989,34623,5
1,38682,47440,36954,42409,6
2,45970,56518,43997,50302,7
3,53168,65581,50836,58317,8
4,60520,74557,58023,66232,9
5,67698,83586,64944,74283,10
