word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,affiliation,compound,pos,neg,neu,frequency,sentiment
cordially,invited,attend,gizelle,’,daughter,’,super,sweet,fifteen,birthday,dinner,Left,0.8,0.21,0.0,0.79,510,Positive
named,king,charles,’,wife,queen,maria,sorry,’,bingeing,crown,diana4ever,Left,-0.1,0.0,0.046,0.954,175,Negative
knocked,back,monique,alexa,please,play,mitchell,’,“,sides,”,’,Left,0.6,0.164,0.0,0.836,517,Positive
alive,candiace,playing,grab,ass,kitchen,playing,business,lady,foyer,preparing,launch,Left,0.2,0.174,0.098,0.728,347,Positive
bathtub,even,get,peek,ray,’,’,tummy,segment,clearly,karen,wants,Left,0.4,0.091,0.0,0.909,747,Positive
king,charles,’,wife,queen,henrietta,sorry,’,bingeing,crown,diana4ever,god,Left,0.2,0.071,0.044,0.884,347,Positive
portugal,returned,queen,’,land,aka,’,land,famously,named,king,charles,Left,0.0,0.0,0.0,1.0,3153,Neutral
get,moment,’,waiting,triumphant,return,samuels,okay,triumphant,may,bit,overstatement,Left,0.8,0.243,0.059,0.698,510,Positive
saga,snooze,worthy,open,house,tour,juan,cordially,invited,attend,gizelle,’,Left,0.4,0.094,0.0,0.906,747,Positive
bone,reg,karen,makes,clear,strewing,petals,around,house,saying,“,love,Left,0.8,0.201,0.0,0.799,510,Positive
’,gay,villains,housewives,franchise,steven,’,party,planner,john,’,blizzard,Left,-0.4,0.084,0.137,0.779,260,Negative
behind,pursue,dream,becoming,reality,tv,political,commentator,“,able,achieve,lining,Left,0.2,0.067,0.0,0.933,347,Positive
save,seven,queen,potomac,opening,montage,’,ashley,darby,dr,wendy,newborns,Left,0.5,0.103,0.0,0.897,568,Positive
montage,virginia,’,ashley,darby,dr,newborns,candiace,cooking,kitchen,husband,white,Left,0.0,0.0,0.0,1.0,3153,Neutral
candiace,cooking,kitchen,husband,white,chris,playfully,grabs,space,white,chris,’,Left,0.4,0.085,0.0,0.915,747,Positive
drinking,monique,gifting,antacids,pesky,ulcer,karen,absolutely,lying,teeth,ulcer,totally,Left,-0.7,0.0,0.174,0.826,149,Negative
tried,bye,”,phone,ashley,darby,darby,correctly,responds,“,”,’,Left,0.0,0.0,0.0,1.0,3153,Neutral
grab,ass,kitchen,karen,playing,business,foyer,preparing,launch,latest,level,mlm,Left,-0.6,0.052,0.17,0.778,242,Negative
beef,beautifully,aged,two,pound,monster,roasts,serves,sundays,cherry,bordelaise,sauce,Left,0.6,0.113,0.0,0.887,517,Positive
centric,reimagining,old,west,village,standby,best,new,rib,chop,midtown,spit,Left,0.6,0.127,0.0,0.873,517,Positive
production,especially,behind,scenes,kitchen,chef,quagliata,manages,preserve,sensibility,original,menu,Left,0.3,0.073,0.0,0.927,461,Positive
sirichai,sreparplarn,whose,excellently,named,new,gardens,restaurant,ugly,baby,serves,faithfully,Left,0.6,0.185,0.089,0.726,517,Positive
real,blue,crab,slices,fine,grasshopper,dessert,combines,minty,chocolaty,qualities,grasshopper,Left,0.2,0.058,0.0,0.942,347,Positive
remake,famous,empire,diner,tenth,avenue,repaired,grizzled,fresser,acquaintance,long,ago,Left,0.0,0.0,0.0,1.0,3153,Neutral
pound,monster,angie,roasts,serves,sundays,bordelaise,sauce,trimmings,crowds,downtown,swells,Left,0.0,0.0,0.0,1.0,3153,Neutral
merguez,talented,white,gold,butchers,alum,lecki,serving,toasted,sourdough,flatbread,andrew,Left,0.5,0.102,0.0,0.898,568,Positive
swank,tastefully,glowing,fashion,architect,marino,colored,jetsons,like,café,chairs,roomy,Left,0.4,0.079,0.0,0.921,747,Positive
civilized,murmur,’,pleasure,especially,someone,paying,graze,postmillennial,spins,old,american,Left,0.6,0.117,0.0,0.883,517,Positive
bobby,doherty,new,york,magazineif,’,kind,elaborate,early,aughts,brand,gourmet,Left,0.5,0.108,0.0,0.892,568,Positive
idiosyncratic,bar,area,replaced,kind,sleek,toned,furniture,usually,find,lobby,bars,Left,0.5,0.138,0.0,0.862,568,Positive
fat,sticky,baby,back,ribs,sweetened,crunchy,little,stacks,crispy,orange,beef,Left,0.0,0.0,0.0,1.0,3153,Neutral
dainty,parisian,style,omelet,francophile,daughter,prefers,visit,latest,addition,gabriel,stulman,Left,0.0,0.0,0.0,1.0,3153,Neutral
together,plenty,greenery,bowl,faintly,curried,rice,closer,home,platt,family,’,Left,0.0,0.0,0.0,1.0,3153,Neutral
toasty,sesame,seed,bun,could,worse,georges,vongerichten,serves,his,star,crossed,Left,-0.5,0.0,0.097,0.903,285,Negative
his,first,seminal,new,york,restaurant,east,64th,street,old,continental,bric,Left,0.0,0.0,0.0,1.0,3153,Neutral
including,bowls,shredded,“,crispy,”,beautifully,charred,market,special,rib,eye,Left,0.8,0.198,0.0,0.802,510,Positive
contents,lava,lamps,painstakingly,deconstructed,bloody,reassembled,tableside,like,magic,trick,afford,Left,-0.2,0.074,0.122,0.804,240,Negative
vegetable,dumplings,stuffed,mushrooms,’,find,shurka,’,new,pan–middle,eastern,comfort,Left,0.3,0.084,0.044,0.872,461,Positive
dressed,pats,gourmet,urchin,fresh,crab,knocking,back,frosty,work,margaritas,touched,Left,0.3,0.073,0.0,0.927,461,Positive
breakfast,afterthought,city,’,never,ending,go,round,food,obsessions,days,opposite,Left,-0.2,0.0,0.064,0.936,240,Negative
tel,aviv,cooling,bowl,grated,tomato,oil,bracing,yemeni,hot,sauce,called,Left,0.0,0.0,0.0,1.0,3153,Neutral
chic,breakfast,classic,breakfast,loving,daughter,suggests,run,’,walk,danny,meyer,Left,0.7,0.182,0.0,0.818,361,Positive
doherty,new,york,magazine,midtown,renaissancephoto,heldensome,us,remember,days,—,say,Left,0.0,0.0,0.0,1.0,3153,Neutral
addled,daughters,recommend,hop,train,downtown,tong,’,breezy,satisfying,east,village,Left,0.7,0.169,0.0,0.831,361,Positive
quiet,prayer,mercifully,close,books,eventful,crossed,dining,year,open,first,pages,Left,0.0,0.0,0.0,1.0,3153,Neutral
chinese,whose,head,chef,charlie,chen,his,lineage,way,back,famous,taiwanese,Left,0.0,0.0,0.0,1.0,3153,Neutral
although,ultimate,around,meat,eating,pleasure,platt,suggests,reserve,large,banquettes,back,Left,0.6,0.113,0.0,0.887,517,Positive
photo,bobby,doherty,new,york,magazinethe,tomatoes,fly,roman,style,slice,pick,Left,0.0,0.0,0.0,1.0,3153,Neutral
chief,aspect,defines,detroit,style,—,picket,fence,crunchy,cheese,around,upper,Left,0.0,0.0,0.0,1.0,3153,Neutral
maestro,dom,demarco,himself,says,daughter,swing,occasion,guest,pizzaiolo,appearance,classic,Left,0.0,0.0,0.0,1.0,3153,Neutral
twice,week,—,finish,pie,good,oil,fresh,basil,pretty,sublime,pizza,Left,0.8,0.244,0.0,0.756,510,Positive
blossoms,thyme,salt,bells,whistles,cheese,margherita,slice,mani,pasta,14th,st,Left,0.0,0.0,0.0,1.0,3153,Neutral
blasts,bagels,full,view,customers,partners,dikos,andrew,martinez,use,real,blueberries,Left,0.0,0.0,0.0,1.0,3153,Neutral
possibly,world,’,first,truly,excellent,bagel,talk,moon,shots,another,try,Left,0.8,0.196,0.0,0.804,510,Positive
square,bagelsmultiple,locationsstunt,cream,cheeses,cotton,please,aside,crucial,sign,great,bagel,Left,0.8,0.186,0.0,0.814,510,Positive
—,’,delicious,discernible,shot,maple,offset,eggy,creamy,crumb,,,Left,0.6,0.121,0.0,0.879,517,Positive
certain,type,bygone,shop,chocolate,chip,dough,cream,cheese,damned,tal,bagelsmultiple,Left,-0.1,0.064,0.08,0.856,175,Negative
bagels,little,cream,cheese,lot,anything,could,held,gold,standard,city,awash,Left,0.0,0.0,0.0,1.0,3153,Neutral
days,david,wilpon,nephew,co,founder,wilpon,presides,brand,near,constant,crowds,Left,0.0,0.0,0.0,1.0,3153,Neutral
specialty,designed,literal,lower,profile,time,tinted,boil,wood,fired,oven,makes,Left,-0.7,0.0,0.172,0.828,149,Negative
years,lamentations,glory,days,bagels,behind,,,,,,,Left,0.2,0.102,0.084,0.814,347,Positive
