word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,affiliation,compound,pos,neg,neu,frequency,sentiment
united,states,japan,united,kingdom,india,south,korea,australia—encompass,well,half,global,Left,0.8,0.222,0.0,0.778,510,Positive
marine,pen,krastev,holmes,right,reject,new,cold,remains,imperative,west,defend,Left,-0.4,0.0,0.085,0.915,260,Negative
confusion,endeavored,boost,illiberal,candidates,trump,’,marine,pen,krastev,holmes,right,Left,0.1,0.085,0.069,0.846,225,Positive
fetishism,came,vogue,1980s,ronald,reagan,thatcher,dominated,western,policy,ever,since—in,Left,0.0,0.0,0.0,1.0,3153,Neutral
illiberal,candidates,trump,france,’,marine,krastev,holmes,right,reject,dawn,new,Left,-0.4,0.0,0.088,0.912,260,Negative
course,false,reality,neoliberal,economic,ideas,power,twilight,cold,weakened,united,states,Left,0.1,0.085,0.069,0.846,225,Positive
bomb,uses,nuclear,weapons,dominate,world,arbor,michigan,pluto,press,p,217f,Left,-0.8,0.0,0.226,0.774,120,Negative
nuclear,arms,1940s,president,obama,’,prague,speech,jazz,saxophonist,charlie,parker,Left,0.0,0.0,0.0,1.0,3153,Neutral
americans,think,easiest,way,settle,problems,simply,dropping,atom,bomb,colored,heads,Left,-0.5,0.078,0.165,0.756,285,Negative
“,breonna,taylor,”,“,raychard,”,“,george,floyd,”,“,Left,0.0,0.0,0.0,1.0,3153,Neutral
published,zora,neale,hurston,life,letters,kaplan,new,york,doubleday,p,cited,Left,0.0,0.0,0.0,1.0,3153,Neutral
patients,she,could,fast,asleep,bed,self,defense,louisville,police,without,warrant,Left,0.1,0.049,0.0,0.951,225,Positive
use,nuclear,weapons,north,vietnam,see,riechmann,“,nixon,discussed,nuclear,strike,Left,-0.5,0.0,0.14,0.86,285,Negative
contrast,swiss,us,shelter,systems,see,scarry,thinking,emergency,new,york,norton,Left,-0.4,0.0,0.082,0.918,260,Negative
enforcement,killings,various,racial,groups,see,hansen,cnn,“,forgotten,minority,police,Left,-0.8,0.0,0.192,0.808,120,Negative
memorandum,secretary,defense,laird,nsa,kissinger,subject,review,us,contingency,plans,washington,Left,0.1,0.049,0.0,0.951,225,Positive
rustin,poet,novelist,james,baldwin,playwright,hansberry,civil,rights,leader,rev,martin,Left,0.0,0.0,0.0,1.0,3153,Neutral
times,july,presence,hispanic,families,noted,cramer,writes,“,officials,warn,residents,Left,-0.1,0.0,0.048,0.952,175,Negative
detailed,account,shelter,see,garrett,graff,rock,story,government,’,secret,plan,Left,0.0,0.0,0.0,1.0,3153,Neutral
washington,’,brookings,institute,gathered,hear,five,person,panel,address,“,politics,Left,0.0,0.0,0.0,1.0,3153,Neutral
americans,horrible,aversiveness,injuries,novelist,anthropologist,neale,hurston,denounced,president,“,butcher,Left,-0.5,0.0,0.111,0.889,285,Negative
entailed,daily,basis,protecting,herself,patients,could,fast,asleep,bed,carry,self,Left,0.0,0.0,0.0,1.0,3153,Neutral
medical,technician,entailed,daily,basis,protecting,patients,she,could,fast,asleep,bed,Left,0.0,0.0,0.0,1.0,3153,Neutral
orthodoxy,she,hillary,clinton,campaign,’,policy,coordinator,advising,biden,campaign,she,Left,0.0,0.0,0.0,1.0,3153,Neutral
placed,guide,return,alliance,orthodoxy,she,clinton,campaign,’,asia,policy,coordinator,Left,0.0,0.0,0.0,1.0,3153,Neutral
united,states,”,various,cranky,academics,towers,years,made,similar,although,much,Left,0.4,0.091,0.0,0.909,747,Positive
prevent,genocide,—part,answer,always,alliances,rapp,hooper,’,new,book,shields,Left,0.0,0.038,0.0,0.962,3153,Neutral
prose,style,innate,brilliance,shine,every,attacks,iraq,global,financial,crisis,resurgence,Left,-0.5,0.103,0.185,0.712,285,Negative
’,alliances,continues,tradition,unwavering,support,presents,vigorous,historical,defense,alliance,system,Left,0.5,0.135,0.0,0.865,568,Positive
simplified,cold,lens,anxious,snub,close,sukarno,saw,territorial,integrity,plank,broader,Left,-0.3,0.076,0.14,0.785,291,Negative
president,sukarno,south,lawn,white,house,image,wikimedia,commonsa,new,book,reveals,Left,0.0,0.0,0.0,1.0,3153,Neutral
systematic,mass,murder,across,globe—from,southeast,south,america—in,fighting,communism,today,indonesia,Left,-0.8,0.0,0.205,0.795,120,Negative
national,police,total,considered,reliable,instrument,political,agenda,according,historian,jeremy,kuzmarov,Left,0.0,0.0,0.0,1.0,3153,Neutral
armies,police,forces,aided,united,states,loosely,organized,petty,gangsters,members,right,Left,0.2,0.086,0.055,0.859,347,Positive
believing,“,ignorant,”,ungovernable,planters,tilley,shown,fed,militant,workers,assassination,Left,-0.7,0.0,0.188,0.812,149,Negative
theorist,robert,meister,drawing,work,psychoanalyst,klein,calls,“,projective,identification,”,Left,0.0,0.0,0.0,1.0,3153,Neutral
united,states,trained,1950s,early,1960s,high,command,positions,though,army,predominated,Left,0.4,0.088,0.0,0.912,747,Positive
even,severe,secondary,sanctions,compel,states,whims,officials,regardless,whether,citizens,leaders,Left,-0.4,0.0,0.082,0.918,260,Negative
enormity,coronavirus,global,pandemic,seemed,finally,trump,administration,secretary,state,mike,pompeo,Left,0.0,0.0,0.0,1.0,3153,Neutral
glories,free,market,salve,problems,nothing,today,’,crises,show,profound,failure,Left,0.1,0.171,0.16,0.668,225,Positive
unable,access,critical,medicines,absolute,poverty,dramatically,inflation,affecting,basic,foodstuffs,skyrocketing,Left,-0.7,0.0,0.167,0.833,149,Negative
wikimediain,world,imperiled,global,pandemic,long,,,,,,,Left,0.0,0.0,0.0,1.0,3153,Neutral
“,launches,bloody,rescue,mission,southeast,servicemen,missing,action,vietnam,”,nearly,Left,-0.2,0.099,0.153,0.749,240,Negative
two,years,berlin,wall,came,full,ads,nation,’,major,newspapers,trump,Left,0.0,0.0,0.0,1.0,3153,Neutral
elected,marlboro,white,house,instead,fact,promises,made,regarding,arms,sales,return,Left,0.4,0.082,0.0,0.918,747,Positive
rambo,reagan,bigger,man—the,b,movie,reality,tv,personality,number,fifty,two,Left,0.1,0.044,0.0,0.956,225,Positive
walks,past,afghan,graveyard,–afghan,patrol,ghazni,province,afghanistan,image,flickr,armywashington,Left,-0.3,0.0,0.071,0.929,291,Negative
seem,reluctant,embrace,fundamental,strategic,facts,foundation,’,survey,afghan,people,longest,Left,0.1,0.073,0.064,0.863,225,Positive
unwarranted,optimism,may,may,result,deceit,gelb,richard,betts,show,postmortem,analysis,Left,0.1,0.101,0.087,0.812,225,Positive
winnable,troop,numbers,swelled,pivoted,counterterrorism,eradication,counterinsurgency,state,building,planners,learned,Left,0.4,0.088,0.0,0.912,747,Positive
incidental,michigan,’,oakland,county,executive,patterson,thought,apt,quite,recently,characterize,Left,0.0,0.0,0.0,1.0,3153,Neutral
historical,narrative,topographical,description,louisiana,west,takes,stock,land,’,bounty,grapes,Left,0.0,0.0,0.0,1.0,3153,Neutral
may,united,states,entered,world,editors,time,life,magazines,published,joint,statement,Left,0.4,0.088,0.0,0.912,747,Positive
elimination,sequestration,“,savages,”,represented,byrd,argues,integral,transit,development,american,Left,-0.7,0.0,0.188,0.812,149,Negative
closer,home,time,magazine,magnate,henry,suggested,even,interventionist,sentiment,ran,high,Left,0.0,0.0,0.0,1.0,3153,Neutral
practices,closer,home,decade,later,historian,black,recently,shown,engineers,department,interior—with,Left,0.0,0.0,0.0,1.0,3153,Neutral
world,”,warned,“,dozen,equivalents,harbor,may,simultaneously,possible,problem,therefore,Left,-0.6,0.0,0.156,0.844,242,Negative
sense,ever,since,political,theorist,aziz,noted,foundational,yet,unexamined,precept,within,Left,0.0,0.0,0.0,1.0,3153,Neutral
upon,violent,elimination,spring,two,members,tribe,allegedly,robbed,murdered,virginia,settler,Left,-0.9,0.0,0.229,0.771,62,Negative
military,forces,tense,stand,offs,thousands,supporters,blocking,construction,dakota,access,oil,Left,-0.3,0.083,0.143,0.774,291,Negative
easy,unproblematic,thinkers,madison,grant,lothrop,prominent,eugenicists,limitation,territories,future,white,Left,0.7,0.214,0.061,0.724,361,Positive
members,shawnee,tribe,allegedly,robbed,murdered,settler,thomas,jefferson,recounts,notes,state,Left,-0.7,0.0,0.132,0.868,149,Negative
number,special,operations,forces—fewer,october,another,december,following,year—to,train,equip,clearly,Left,0.7,0.199,0.0,0.801,361,Positive
course,post,world,territorial,settlement,britain,devised,carve,much,near,east,eviscerated,Left,0.0,0.0,0.0,1.0,3153,Neutral
senate,majority,leader,mitch,mcconnell,senator,graham,parted,ways,him,trump,’,Left,0.0,0.0,0.0,1.0,3153,Neutral
defense,authorization,act,fiscal,year,image,chasez,dodthe,barrage,attacks,followed,trump,Left,-0.3,0.046,0.09,0.864,291,Negative
sham,constitution,allows,’,way,crisis,,,,,,,Left,-0.6,0.0,0.128,0.872,242,Negative
minimum,wages,adkins,children,’,hospital,kelley,social,reformer,led,battle,child,Left,-0.4,0.0,0.085,0.915,260,Negative
wages,adkins,children,’,hospital,florence,social,reformer,led,battle,child,labor,Left,-0.4,0.0,0.085,0.915,260,Negative
black,children,too—to,join,court,hearings,graham,noted,challenges,conservative,woman,conservative,Left,0.4,0.111,0.0,0.889,747,Positive
’,appointment,likely,shift,court,justice,bader,ginsburg,barely,buried,barrett,’,Left,0.5,0.112,0.0,0.888,568,Positive
never,questioned,assumption,rbg,’,replacement,barrett,’,senate,supporters,president,trump,Left,0.5,0.139,0.0,0.861,568,Positive
results,’,early,view,georgia,north,republican,party,going,tempted,repeat,successfully,Left,0.7,0.179,0.0,0.821,361,Positive
step,strategy,thought,trump,would,follow,people,opportunity,vote,make,sure,votes,Left,0.6,0.154,0.0,0.846,517,Positive
roughly,’,thirty,times,higher,spread,recall,would,difficult,win,flip,votes,Left,0.3,0.114,0.075,0.811,461,Positive
need,recount,wisconsin,michigan,states,like,needs,stop,vote,counts,consistent,strategy,Left,0.1,0.076,0.067,0.856,225,Positive
americans,convenient,way,voting,showing,person,november,’,going,get,higher,turnout,Left,0.0,0.0,0.0,1.0,3153,Neutral
substantially,increased,past,decade,consider,case,jenkins,illinois,police,officer,chased,gunpoint,Left,0.3,0.076,0.0,0.924,461,Positive
problems,recognizes,defends,marital,exception,rape,harris,cynthia,lee,capture,dual,legacy,Left,-0.8,0.0,0.209,0.791,120,Negative
defends,marital,exception,rape,angela,harris,lee,capture,dual,legacy,well,write,Left,-0.6,0.06,0.135,0.805,242,Negative
areas,sexual,assault,beginning,look,quite,antiquated,course,attracting,law,students,thing,Left,-0.2,0.089,0.109,0.802,240,Negative
“,proportional,mens,rea,”,says,equal,punishment,track,guiltiness,defendant,’,Left,-0.7,0.0,0.194,0.806,149,Negative
facilitation,consider,case,ryan,holle,young,evening,party,wrapping,holle,’,housemate,Left,0.4,0.088,0.0,0.912,747,Positive
herself,interests,another,person,society,scholars,kessler,ferzan,stephen,garvey,westen,observed,Left,0.2,0.065,0.0,0.935,347,Positive
evaluations,responsibility,even,jarring,illustration,“,pound,”,approach,criminal,liability,felony,Left,-0.8,0.0,0.258,0.742,120,Negative
perhaps,doubly,considers,felony,murder,laws—as,barkow,observes—,“,lump,disparate,categories,Left,-0.8,0.0,0.233,0.767,120,Negative
guilty,mind,result,deeply,unjust,system,,,,,,,Left,-0.8,0.0,0.25,0.75,120,Negative
liability,policies,may,criminogenic,given,that—as,meares,explains—,“,legitimacy,criminal,justice,Left,-0.2,0.098,0.15,0.751,240,Negative
sentence,say,something,morally,condemnable,offender—that,failed,sufficiently,concern,him,herself,interests,Left,-0.2,0.098,0.098,0.804,240,Negative
offender—that,she,failed,sufficiently,concern,him,interests,another,person,society,scholars,kimberly,Left,-0.3,0.06,0.099,0.841,291,Negative
cities,couple,triple,teams,thrown,houston,south,florida,cleveland,columbus,research,triangle,Left,0.0,0.0,0.0,1.0,3153,Neutral
georgia,sixteen,five,states—florida,ohio,north,arizona,iowa—that,seventy,nine,electors,five,Left,0.0,0.0,0.0,1.0,3153,Neutral
“,trump,four,moves,ensure,victory,people,opportunity,vote,count,votes,courts,Left,0.7,0.167,0.0,0.833,361,Positive
milwaukee,’,every,litigation,voting,everywhere,hardly,matters,least,national,outcome,although,Left,-0.2,0.0,0.099,0.901,240,Negative
triple,teams,thrown,houston,atlanta,south,cleveland,columbus,research,triangle,phoenix,moines,Left,0.0,0.0,0.0,1.0,3153,Neutral
likely,win,really,needs,win,texas,fifty,four,electors,texas,thirty,eight,Left,0.8,0.213,0.0,0.787,510,Positive
wrong,thing,final,ruling,might,support,pelosi,standing,right,thing,jc,ronald,Left,-0.1,0.08,0.092,0.828,175,Negative
rh,right,sadly,justice,ginsburg,achieve,struggled,hard,achieve,live,past,election,Left,-0.3,0.094,0.183,0.722,291,Negative
breed,activist,business,executives,armed,tomes,rand,friedrich,hayek,describing,executives,perlstein,Left,0.0,0.0,0.0,1.0,3153,Neutral
business,increased,budgets,military,little,anything,anyone,else,”,•,•,•how,Left,0.3,0.075,0.0,0.925,461,Positive
include,phillips,fein,’,invisible,hands,mayer,’,recent,dark,money,yet,Left,0.0,0.0,0.0,1.0,3153,Neutral
november,sanders,democratic,nominee,covid,deaths,globally,spring,leon,cooperman,chairman,ceo,Left,0.0,0.0,0.0,1.0,3153,Neutral
vote,mid,1970s,reagan,emerging,national,conservatism,corporate,power,washington,weak,disorganized,Left,-0.6,0.0,0.154,0.846,242,Negative
book,series,modern,history,conservatism,beginning,follows,movement,barry,goldwater,’,rise,Left,0.0,0.0,0.0,1.0,3153,Neutral
oecd,included,thirty,countries—the,united,states,plus,european,states—the,united,states,highest,Left,0.7,0.167,0.0,0.833,361,Positive
increased,appeal,yes,politicians,bernie,sanders,warren,made,progressive,wing,democratic,party,Left,0.8,0.217,0.0,0.783,510,Positive
would,count,poor,compare,child,ten,thirty,scandinavia,failure,’,attributed,lack,Left,-0.8,0.0,0.251,0.749,120,Negative
poor,children,lack,sufficient,measure,amartya,nussbaum,called,“,capabilities,”,economic,Left,-0.7,0.0,0.172,0.828,149,Negative
presented,example,rampant,routine,welfare,fraud,run,law,welfare,scams,charged,illegally,Left,-0.9,0.0,0.258,0.742,62,Negative
reagan,made,outlandish,false,claim,regarding,labelled,“,welfare,queen,”,chicago,Left,0.0,0.0,0.0,1.0,3153,Neutral
abortion,decision,harms,could,follow,women,undesired,pregnancies,term,nevertheless,distinction,rights,Left,-0.5,0.0,0.099,0.901,285,Negative
abortion,rights,might,save,roe,his,precedent,june,medical,longer,looks,like,Left,0.7,0.169,0.0,0.831,361,Positive
letter,stare,decisis,doctrine,requiring,court,precedents,predicted,regardless,roberts,thought,abortion,Left,0.0,0.0,0.0,1.0,3153,Neutral
partisan,supreme,court,’,recent,decision,medical,services,russo,surprised,many,observers,Left,0.7,0.169,0.0,0.831,361,Positive
may,eventually,deescalate,justices,antonin,scalia,bader,ginsburg,argued,roe,decided,differently,Left,-0.4,0.0,0.079,0.921,260,Negative
wade,spoke,constitutional,privacy,right,encompassed,’,abortion,decision,harms,could,follow,Left,-0.5,0.0,0.103,0.897,285,Negative
advanced,european,civilizations,cousins—australia,new,zealand,earlier,united,states—could,democratic,rule,owing,Left,0.6,0.146,0.0,0.854,517,Positive
distrust,indian,social,norms,much,like,jacques,rousseau,mahatma,gandhi,long,argued,Left,-0.4,0.072,0.152,0.776,260,Negative
twenty,months,infamous,emergency,exception,costa,developing,country,enjoyed,long,democratic,run,Left,0.2,0.097,0.077,0.826,347,Positive
underlying,tide,chinese,cultural,revolution,–,belief,politics,could,create,new,man—one,Left,0.3,0.07,0.0,0.93,461,Positive
curiosity,sexual,gratification,”,legal,scholar,ritchie,writes,“,’,notions,’,Left,0.5,0.146,0.0,0.854,568,Positive
order,crimes,example,general,manager,downtown,angrily,wrote,his,city,council,president,Left,-0.4,0.0,0.088,0.912,260,Negative
notions,’,supposed,exist,”,said,salcedo,founder,trans,latina,coalition,“,Left,0.0,0.0,0.0,1.0,3153,Neutral
crowned,arbiters,urban,order,solution,scholar,sears,calls,“,problem,bodies,”,Left,-0.1,0.074,0.087,0.839,175,Negative
authority,women,’,bodies,would,turn,officers,authority,enforce,predatory,vision,public,Left,0.4,0.15,0.0,0.85,747,Positive
bodies,street,action,boston,co,organized,prescod,sex,worker,activists,women,declared,Left,0.0,0.0,0.0,1.0,3153,Neutral
safe,ride,home,sexually,harassed,assaulted,borders,wrote,facebook,hankison,“,drove,Left,-0.6,0.081,0.193,0.726,242,Negative
unconscious,”,borders,time,report,rape,feared,retaliation,“,upper,hand,police,Left,-0.7,0.089,0.219,0.693,149,Negative
specifically,say,is—and,case,hankison,shows—we,crucial,component,police,violence,think,defined,Left,-0.6,0.0,0.124,0.876,242,Negative
“,lewis,mcfarland,”,set,“,potocki,”,single,mother,worked,night,Left,0.0,0.0,0.0,1.0,3153,Neutral
testimony,typically,hinged,officer,’,appraisal,’,appearance,reputation,company,she,allegedly,Left,0.0,0.0,0.0,1.0,3153,Neutral
questionable,practices,exxonmobil,example,bought,ads,new,york,times,announcing,investment,gcep,Left,-0.3,0.0,0.071,0.929,291,Negative
entire,annual,budget,fundamental,energy,research,office,science,billion,ramping,budgets,responsibly,Left,0.3,0.068,0.0,0.932,461,Positive
found,could,easily,comply,provisions,australia,poised,withdraw,treaties,like,kyoto,crafted,Left,0.7,0.204,0.0,0.796,361,Positive
puritan,literature,“,howling,wilderness,inscribed,history,european,import,”,empty,new,Left,-0.2,0.0,0.062,0.938,240,Negative
proposes,arrival,enslaved,africans,british,colony,appropriate,place,begin,telling,story,united,Left,0.0,0.084,0.081,0.836,3153,Neutral
translated,pierre,joris,commentary,pierre,joris,wiedemannfarrar,straus,giroux,cloth,dome,walks,Left,0.0,0.0,0.0,1.0,3153,Neutral
consumed,sense,critics,especially,germany,eager,his,work,truly,his,placed,himself,Left,0.5,0.156,0.064,0.78,568,Positive
modernism,friedrich,hölderlin,rainer,maria,rilke,tradition,german,lyric,poetry,composed,works,Left,0.0,0.0,0.0,1.0,3153,Neutral
william,butler,yeats,later,would,translate,dickinson,identified,strongly,franz,kafka,another,Left,0.3,0.068,0.0,0.932,461,Positive
pont,mirabeau,bridge,apollinaire,eternalized,poem,world,celan,’,death,entirety,modernism,Left,-0.6,0.0,0.122,0.878,242,Negative
german,speaking,jewish,family,romania,died,fifty,years,later—a,months,shy,his,Left,-0.7,0.0,0.167,0.833,149,Negative
eyes,laughing,knife,fork,crossed,his,eyes,wrinkles,his,forehead,embarrassment,like,Left,0.4,0.16,0.081,0.758,747,Positive
could,exploited,years,later,told,poet,bachmann,his,lover,“,deathfugue,”,Left,0.7,0.222,0.083,0.694,361,Positive
translation,memoir,dome,walks,paul,celan,daive,french,language,poet,close,friend,Left,0.5,0.099,0.0,0.901,568,Positive
respect,least,celan,distant,cousin,james,poem,seem,like,miniature,ulysses,joyce,Left,0.7,0.167,0.0,0.833,361,Positive
speculatively,contemplate,poetically,describe,auschwitz,nightingale,perspective,”,like,adorno,celan,took,Left,0.4,0.082,0.0,0.918,747,Positive
feminine,goethe,’,faust,she,incarnation,combs,golden,hair,dreamlike,poem,heinrich,Left,0.0,0.0,0.0,1.0,3153,Neutral
couplet,ends,poem,“,golden,hair,ashen,hair,shulamith,”,symbolism,almost,Left,0.0,0.0,0.0,1.0,3153,Neutral
poets,european,modernism,friedrich,hölderlin,rainer,rilke,else,tradition,german,lyric,poetry,Left,0.0,0.0,0.0,1.0,3153,Neutral
birthname,paul,antschel,pseudonym,used,several,names,young,child,born,czernowitz,cernăuți,Left,0.0,0.0,0.0,1.0,3153,Neutral
first,major,collection,published,mohn,gedächtnis,memory,concludes,enigmatic,poem,“,count,Left,0.0,0.0,0.0,1.0,3153,Neutral
path,poetry,terrors,twentieth,century,memory,threshold,speech,collected,earlier,poetry,bilingual,Left,-0.6,0.0,0.11,0.89,242,Negative
dome,first,published,french,english,translation,waldrop,reprinted,year,city,lights,superb,Left,0.6,0.124,0.0,0.876,517,Positive
brought,us,forth,human,dark,wild,paths,evenings,front,ofyou,heaven,’,Left,0.5,0.105,0.0,0.895,568,Positive
synagogue,burned,jews,made,wear,yellow,celan,put,forced,labor—much,time,shoveling,Left,-0.5,0.0,0.094,0.906,285,Negative
german,compression,joris,leaves,two,conjoined,german,’,distinctive,capacity,forge,new,Left,0.0,0.0,0.0,1.0,3153,Neutral
literature,eternal,feminine,goethe,’,faust,incarnation,lorelei,combs,golden,hair,dreamlike,Left,0.0,0.0,0.0,1.0,3153,Neutral
pays,homage,sabbath—specifically,ritual,traditionally,performed,lighting,candle,mark,beginning,day,rest,Left,0.0,0.0,0.0,1.0,3153,Neutral
netflixron,howard,’,netflix,adaptation,‘,,,,,,,Left,0.0,0.0,0.0,1.0,3153,Neutral
film,despite,fine,acting,amy,adams,’,loving,opioid,addicted,mother,glenn,Left,0.5,0.12,0.049,0.831,568,Positive
civilization,hillbilly,veer,heartbeat,yokel,hijinks,hillbillies,savage,imbecility,deliverance,symbolic,lability,Left,-0.5,0.0,0.094,0.906,285,Negative
course,among,oldest,best,loved,stories,fair,lady,pretty,woman,americans,particular,Left,0.9,0.343,0.0,0.657,146,Positive
clear,blue,sky,spider,web,shining,pulsing,bullfrog,resting,shade,green,creek,Left,0.4,0.082,0.0,0.918,747,Positive
two,conditions,never,resolved,simply,observed,catte,notes,getting,wrong,appalachia,northern,Left,-0.6,0.0,0.142,0.858,242,Negative
day,hunting,season,school,holiday,perkins,restaurant,demolition,derby,county,fair,highlight,Left,0.8,0.215,0.0,0.785,510,Positive
kkk,militia,planned,abduct,michigan,governor,whitmer,sweetness,pastoral,origin,myth—the,dream,Left,0.6,0.157,0.0,0.843,517,Positive
even,got,teeth,”,’,family,sullied,“,’,call,mom,whore,Left,-0.6,0.0,0.147,0.853,242,Negative
met—in,fact,probably,smarter,anyone,goddamned,coddled,vivaldi,playing,cohort,heated,reply,Left,0.2,0.139,0.081,0.78,347,Positive
rather,surprising,painting,painting,backwoodsmen,done,watercolors,pastel,oils,raccoon,hatted,davy,Left,0.3,0.068,0.0,0.932,461,Positive
planned,abduct,michigan,’,governor,historian,silber,’,romance,reunion,northerners,south,Left,0.6,0.118,0.0,0.882,517,Positive
people,largely,descendants,scots,irish,historian,dunbar,ortiz,documented,shored,claim,whiteness,Left,0.0,0.0,0.0,1.0,3153,Neutral
cooter,calls,“,nostalgic,groups,”,means,everything,kkk,militia,planned,abduct,Left,0.0,0.0,0.0,1.0,3153,Neutral
oldest,best,loved,stories,cinderella,fair,pretty,woman,americans,particular,love,story,Left,1.0,0.416,0.0,0.584,7,Positive
back,home,replies,his,mother,smartest,’,ever,met—in,fact,probably,smarter,Left,0.8,0.206,0.0,0.794,510,Positive
reactions,jenner,vanity,fair,ran,article,samuels,charging,dolezal,“,dishonesty,race,Left,0.1,0.074,0.061,0.865,225,Positive
pregnancy,related,complications,white,women,explains,geronimus,public,health,researcher,professor,university,Left,0.0,0.0,0.0,1.0,3153,Neutral
see,consider,different,case,indigenous,peoples,years,percent,children,indigenous,peoples,canada,Left,0.0,0.0,0.0,1.0,3153,Neutral
alike,burdened,legacy,patriarchy,feminist,icon,mackinnon,recently,said,“,anybody,identifies,Left,-0.4,0.0,0.088,0.912,260,Negative
small,group,feminists,including,germaine,greer,burkett,furious,jenner,glamour,’,women,Left,-0.1,0.1,0.109,0.792,175,Negative
opinion,correct,answer,case,diallo,anyone,lacking,black,heritage,“,”,sides,Left,0.0,0.0,0.0,1.0,3153,Neutral
joined,small,group,feminists,including,germaine,elinor,burkett,furious,jenner,glamour,’,Left,-0.1,0.1,0.109,0.792,175,Negative
née,rachel,dolezal,caitlyn,jenner,laverne,,,,,,,Left,-0.6,0.0,0.119,0.881,242,Negative
plenty,misogyny,go,around,transfeminist,author,serano,argues,rooted,deeply,entrenched,social,Left,-0.4,0.0,0.082,0.918,260,Negative
”,phrase,emblazoned,vanity,fair,’,cover,caitlyn,jenner,revealed,transgender,identity,Left,0.1,0.076,0.063,0.861,225,Positive
ever,well,founded,yet,medical,anthropologist,karkazis,pointed,lancet,last,year,facile,Left,0.3,0.068,0.0,0.932,461,Positive
diallo,née,rachel,dolezal,caitlyn,jenner,coxunlike,gender,inequality,racial,inequality,primarily,Left,0.0,0.0,0.0,1.0,3153,Neutral
white,households,widen,intergenerationally,taxation,scholar,batchelder,noted,“,white,households,twice,Left,-0.6,0.0,0.128,0.872,242,Negative
jessica,krug,nkechi,amare,diallo,née,dolezal,caitlyn,jenner,laverne,coxunlike,gender,Left,0.0,0.0,0.0,1.0,3153,Neutral
black,families,”,economists,darrick,hamilton,darity,argue,intra,familial,merit,transfers,Left,0.1,0.087,0.075,0.839,225,Positive
resist,definition,terms,single—much,less,fixed—trait,kessler,wendy,mckenna,observed,“,features,Left,0.0,0.0,0.0,1.0,3153,Neutral
supposed,include,anyone,black,“,perceptible,african,blood,”,two,decades,later,Left,0.0,0.0,0.0,1.0,3153,Neutral
terms,single—much,less,fixed—trait,suzanne,kessler,mckenna,observed,“,features,always,without,Left,0.0,0.0,0.0,1.0,3153,Neutral
diallo,said,despite,lack,black,ancestry,genuinely,self,identified,black,public,reactions,Left,0.2,0.063,0.0,0.937,347,Positive
millner,agreed,calling,dolezal,“,white,fussy,hair,bad,tan,”,pointing,Left,-0.3,0.066,0.111,0.823,291,Negative
demanded,others,recognize,jenner,certain,identity,reactions,demand,predictable,jenner,warmly,embraced,Left,0.3,0.14,0.099,0.76,461,Positive
toleration,”,implies,something,receive,someone,makes,reliant,dependent,others,waiter,receiver,Left,0.1,0.051,0.0,0.949,225,Positive
bill,clinton,promised,change,welfare,knew,clinton,leaned,racist,super,predatory,theory,Left,0.3,0.171,0.107,0.722,461,Positive
suppression,typically,right,scholars,vesla,weaver,alexander,helped,us,understand,growth,carceral,Left,0.4,0.082,0.0,0.918,747,Positive
claim,merchants,buenos,aires,ríos,made,importing,supplies,allied,troops,argentina,brazil,Left,0.0,0.0,0.0,1.0,3153,Neutral
manuel,aristides,zañartu,perhaps,intended,riposte,martineau,’,fictional,homilies,laissez,faire,Left,0.0,0.0,0.0,1.0,3153,Neutral
economy,based,work,french,liberal,economist,baptiste,say,anglo,american,tradition,say,Left,0.0,0.0,0.0,1.0,3153,Neutral
republics,knowledge,nations,future,latin,america,miller,copright,©,princeton,university,press,Left,0.0,0.0,0.0,1.0,3153,Neutral
cases,vaccine,shortages,increased,rescinded,offer,australia,permitted,exports,domestic,manufacturers,citizens,Left,0.1,0.066,0.05,0.883,225,Positive
signs,progress,lawmakers,taken,notice,senator,warren,representative,jan,schakowsky,proposed,covid,Left,0.4,0.088,0.0,0.912,747,Positive
taken,notice,senator,elizabeth,warren,representative,schakowsky,proposed,covid,emergency,manufacturing,act,Left,-0.4,0.0,0.082,0.918,260,Negative
decades,twenty,years,ago,science,journalist,garrett,characterized,collapse,global,health,infrastructure,Left,-0.5,0.0,0.099,0.901,285,Negative
especially,suited,areas,like,climate,change,significant,degree,uncertainty,second,closely,related,Left,0.2,0.128,0.071,0.801,347,Positive
controlled,technocrats,managers,asserting,pretending,expertise,democratically,accountable,members,stakeholders,paris,sense,Left,0.1,0.046,0.0,0.954,225,Positive
yard,line,”,constitutional,change,sport,jordan,house,’,first,african,american,Left,0.0,0.0,0.0,1.0,3153,Neutral
movement,celebrates,60th,anniversary,19th,amendment,,,,,,,Left,0.6,0.113,0.0,0.887,517,Positive
representatives,percent,version,notably,deadline,attached,nineteenth,amendment,passed,amendment,since,’,Left,0.0,0.0,0.0,1.0,3153,Neutral
women,unstoppable,mothers,equal,rights,amendment,suk,published,skyhorse,publishing,,,Left,-0.2,0.0,0.058,0.942,240,Negative
celler,’,side,quickly,grew,stake,holtzman,thirty,year,old,lawyer,brooklyn,Left,0.0,0.0,0.0,1.0,3153,Neutral
widespread,confusion,would,time,running,holtzman,heckler,republican,massachusetts,created,bipartisan,congresswomen,Left,-0.1,0.062,0.068,0.87,175,Negative
