Left Political,Left Emotional,Right Political,Right Emotional,Window Size
money,component,civil,baroque,5
democratic,mother,united,famous,5
nominee,officer,nations,fake,5
covid,easily,australia,sundial,5
spring,comply,united,advance,5
national,provisions,kingdom,advance,5
national,wilderness,organisation,seize,5
conservatism,history,islamic,reported,5
corporate,import,law,car,5
power,empty,group,bomb,5
modern,enslaved,asylum,airport,5
conservatism,colony,head,manage,5
movement,telling,authority,survive,5
united,commentary,syrian,reasons,5
states,cloth,arab,terrorist,5
united,dome,republic,extreme,5
states,eager,republic,reinstate,5
politicians,lyric,syria,denied,5
progressive,composed,christians,remaining,5
wing,strongly,east,suburb,5
democratic,bridge,unification,establishment,5
poor,knife,christians,coming,5
welfare,fork,front,protect,5
fraud,crossed,solidarity,region,5
law,forehead,mass,scene,5
welfare,embarrassment,young,celebrated,5
false,lover,young,cowardly,5
claim,dome,fathers,father,5
welfare,close,mixed,blood,5
term,distant,islamic,altar,5
roe,miniature,church,massacre,5
decisis,describe,catholic,deliverance,5
doctrine,nightingale,united,previously,5
court,perspective,states,valuable,5
roberts,hair,east,region,5
thought,hair,trump,endangered,5
court,hair,islamic,simply,5
decision,symbolism,extraordinary,allowed,5
services,modernism,threat,diocese,5
justices,lyric,court,offer,5
scalia,pseudonym,established,displacement,5
roe,child,organizations,dignity,5
constitutional,collection,church,active,5
privacy,published,conditions,food,5
right,memory,cultural,wine,5
abortion,enigmatic,historic,memorandum,5
decision,twentieth,young,understanding,5
civilizations,century,young,commemorate,5
zealand,memory,senator,minor,5
united,collected,senator,periodic,5
democratic,earlier,senator,evaluate,5
rule,published,senator,food,5
social,dark,senator,wine,5
rousseau,wild,support,memorandum,5
rousseau,wear,senator,understanding,5
gandhi,forced,mp,suburbs,5
country,distinctive,mp,upper,5
democratic,forge,mp,shore,5
cultural,feminine,senator,supporter,5
revolution,hair,mp,regional,5
revolution,ritual,senator,manager,5
politics,candle,young,painful,5
legal,acting,young,pastor,5
general,loving,senator,wife,5
council,mother,united,compelled,5
coalition,veer,nations,continued,5
order,savage,universal,remember,5
solution,deliverance,review,fall,5
problem,symbolic,survey,civilization,5
authority,fair,australian,fertile,5
action,pretty,communities,crescent,5
home,spider,recognition,series,5
report,shade,justice,desert,5
rape,resolved,cultural,heavily,5
retaliation,simply,historic,destroyed,5
hand,wrong,young,fall,5
police,season,young,demonstrated,5
violence,holiday,senator,protected,5
single,restaurant,senator,huge,5
appearance,demolition,senator,statue,5
reputation,fair,senator,holy,5
budget,governor,senator,virgin,5
fundamental,sweetness,support,received,5
energy,origin,mp,direction,5
research,teeth,senator,professor,5
office,heated,mp,history,5
science,painting,senator,humanities,5
australia,painting,young,project,5
withdraw,pastel,young,grandmother,5
treaties,oils,senator,escaped,5
kyoto,governor,member,escaped,5
british,historian,genocide,fellow,5
place,romance,freedom,feel,5
work,reunion,christians,unwelcome,5
tradition,historian,middle,presence,5
world,militia,process,concern,5
death,fair,leave,raised,5
language,pretty,government,mystery,5
adorno,love,western,midst,5
golden,mother,modern,turmoil,5
golden,fact,iraq,hold,5
tradition,vanity,émile,promise,5
young,fair,government,buying,5
young,professor,united,crossed,5
threshold,indigenous,nations,grab,5
speech,indigenous,genocide,thrift,5
front,legacy,member,miracle,5
capacity,feminist,international,grab,5
golden,icon,local,bankruptcy,5
shining,furious,political,crossed,5
green,answer,political,answer,5
school,lacking,science,appointment,5
perkins,heritage,genocide,keeping,5
planned,furious,credit,interview,5
michigan,author,peace,twin,5
call,rooted,block,share,5
cohort,vanity,tradition,interview,5
michigan,fair,limit,anchor,5
irish,cover,birth,edge,5
claim,medical,away,rising,5
means,widen,question,ball,5
planned,scholar,republican,advocacy,5
article,noted,office,sign,5
dishonesty,argue,republicans,population,5
public,merit,majority,restaurant,5
health,terms,gop,heart,5
patriarchy,perceptible,trump,securities,5
group,blood,senate,securities,5
entrenched,features,races,defend,5
transgender,lack,republican,reporter,5
gender,ancestry,office,tribune,5
inequality,calling,candidate,average,5
racial,fussy,vote,hourly,5
inequality,hair,trump,earnings,5
taxation,bad,vote,coming,5
public,demand,democrat,senior,5
identity,dependent,presidential,reporter,5
change,predatory,biden,tribune,5
welfare,growth,forward,release,5
right,supplies,federal,potential,5
argentina,allied,immigration,result,5
work,troops,biden,writing,5
liberal,intended,process,explode,5
tradition,future,planning,potential,5
nations,offer,immigration,bosom,5
australia,permitted,trump,eminently,5
domestic,notice,executive,gratitude,5
senator,emergency,strategy,love,5
representative,journalist,effective,affair,5
senator,collapse,effective,married,5
representative,significant,large,courtesy,5
covid,degree,cuban,cell,5
science,asserting,trump,phone,5
global,pretending,south,recording,5
health,expertise,community,film,5
climate,version,trump,release,5
change,notably,biden,date,5
uncertainty,published,vote,strongly,5
accountable,quickly,socialism,film,5
members,stake,employment,related,5
members,lawyer,jobs,related,5
constitutional,running,employment,rumor,5
change,session,work,mother,5
sport,informed,republican,episode,5
amendment,holding,democrat,potential,5
amendment,assistant,chief,role,5
amendment,widespread,impeachment,series,5
equal,confusion,speaker,alien,5
rights,circuit,democrat,flash,5
amendment,crucial,intelligence,role,5
side,calculation,committee,conclusion,5
republican,include,report,inclusion,5
bipartisan,mere,democrats,knowing,5
sponsored,incarceration,post,relief,5
debate,father,democrats,khan,5
ratification,photo,planning,episode,5
general,reject,articles,doctor,5
department,outright,impeachment,debut,5
operation,friendly,president,alongside,5
court,seemingly,trump,confirmed,5
equality,essay,impeachment,cast,5
sponsored,governor,inquiry,doctor,5
political,prosper,trump,series,5
political,testimony,election,rooster,5
original,bad,gop,teeth,5
congress,stand,republican,partner,5
senator,banished,trump,breakdown,5
clear,collection,campaign,marvel,5
