Left Political,Left Emotional,Right Political,Right Emotional,Window Size
september,follow,utopia,abide,5
glorious,music,ratio,shaft,5
campaign,recording,september,pit,5
campaign,building,glass,homosexual,5
video,actor,british,perverted,5
vote,island,listening,road,5
vote,offered,victory,twelfth,5
ballot,ocean,independent,ocean,5
biden,pleased,path,cage,5
post,assist,lord,notebook,5
politics,team,partial,tribute,5
primary,artists,path,meandering,5
election,history,spring,gallant,5
fund,remains,secretary,hidden,5
vote,steadfast,baruch,abstract,5
covid,rum,collaboration,dream,5
millennials,meeting,wealth,backwards,5
press,governor,community,hidden,5
articles,basis,place,wheels,5
voting,emergency,language,true,5
machine,fare,place,breakfast,5
communities,coming,response,fabric,5
committee,unlike,language,backwards,5
civil,provocative,review,messenger,5
rights,directly,utopia,words,5
law,sitting,ratio,cage,5
online,population,september,lost,5
registration,sweet,glass,sequence,5
left,tribe,british,plate,5
primary,continent,listening,shame,5
election,grievous,victory,riding,5
fund,mistake,independent,century,5
biden,curb,path,concluding,5
president,cover,lord,note,5
united,hair,partial,detail,5
states,photo,path,shelf,5
world,celebrity,spring,love,5
large,color,secretary,thinking,5
advice,sweating,peace,consult,5
fbi,impossible,government,archive,5
general,offense,supreme,contact,5
election,aggression,defense,fortnightly,5
trump,subject,minister,received,5
theory,assistant,foreign,archive,5
fbi,conversation,minister,hurt,5
department,conversation,review,detail,5
justice,car,stage,waltz,5
election,license,changes,verse,5
republican,passage,review,hospital,5
street,quote,ireland,infection,5
election,conversation,review,true,5
president,unlike,belfast,breakfast,5
place,vow,death,brown,5
executive,vulnerable,radio,mother,5
control,famously,business,love,5
senate,shut,review,extremely,5
gop,film,surveillance,friend,5
changes,bland,press,sitting,5
biden,summer,press,veranda,5
rules,summer,press,drinking,5
administration,resistance,national,breakfast,5
workers,governor,national,step,5
executive,medical,world,smell,5
national,writer,death,floss,5
national,fatality,vaccine,crowded,5
office,bundle,continuous,flapping,5
information,cloud,path,direction,5
trump,comforter,reveal,couple,5
administration,bedding,head,toast,5
nominate,daily,head,absence,5
labor,scrutinize,path,morning,5
vice,fitted,voice,room,5
president,spirit,revelation,hurried,5
chief,birch,sun,knock,5
staff,helix,democrats,squirrel,5
biden,mattress,africa,suddenly,5
staff,breed,ireland,moment,5
biden,reason,path,carefully,5
diversity,idea,president,artist,5
national,possibly,right,remember,5
national,mid,right,argument,5
intelligence,true,vietnam,sitting,5
united,experience,vietnam,scarf,5
nations,prosecutor,limit,assistant,5
office,controversial,review,wife,5
management,recent,appearance,ship,5
budget,card,pride,mother,5
council,listing,post,future,5
economic,bunch,panel,accustomed,5
federal,financial,home,ordained,5
market,wrist,responsibility,thousand,5
committee,prosecutor,image,gel,5
president,controversial,original,immune,5
trump,previous,nation,rest,5
head,gig,military,bad,5
agency,governor,veterans,curl,5
presidential,reasons,service,juice,5
process,employer,career,extra,5
pacific,break,air,pain,5
bilateral,discipline,grateful,instinct,5
senators,affair,support,believed,5
cabinet,counsel,tech,memorable,5
cabinet,father,training,date,5
appointments,point,military,married,5
party,polish,covid,twelve,5
senate,knob,pandemic,record,5
majority,smile,eastern,flute,5
office,harness,district,mid,5
united,immediately,district,fog,5
states,taste,teachers,opaque,5
away,yoke,district,wilderness,5
global,hair,district,pillow,5
stage,cut,colleague,word,5
republican,salon,central,pattern,5
president,idiotic,district,remains,5
trump,remove,process,joy,5
global,remembered,health,visit,5
stage,real,department,angular,5
original,indicator,start,linger,5
code,hold,association,grow,5
dominion,madam,class,rubbing,5
public,appointment,community,anxious,5
health,envoy,outreach,bungalow,5
service,journalist,education,bungalow,5
public,governor,place,thin,5
health,lawyer,harrington,knee,5
services,alleged,chief,phone,5
coronavirus,defend,health,airport,5
staff,evidence,protection,married,5
front,outrageous,department,pollution,5
spring,conduct,rules,abduction,5
spring,journalist,health,openly,5
alaska,supporters,staff,mud,5
covid,journalist,health,thick,5
individual,shut,department,tail,5
positive,forced,limited,rescue,5
negative,close,ballot,flare,5
test,found,press,silvery,5
positive,cafe,birth,gleam,5
native,hang,double,prowl,5
affairs,menu,figures,barricade,5
young,items,points,lazy,5
young,dozen,forward,cheek,5
standing,cove,left,behold,5
standing,familiar,points,audacity,5
special,bartender,post,cage,5
president,matter,game,notebook,5
platform,food,member,tribute,5
right,sister,points,meandering,5
group,drag,double,gallant,5
border,crunch,figures,hidden,5
media,yielding,september,abstract,5
crime,goodness,issues,dream,5
crime,luxurious,issues,backwards,5
rate,wife,safety,hidden,5
south,friend,world,wheels,5
dakota,shorten,mail,true,5
judge,cream,position,breakfast,5
association,oatmeal,flag,fabric,5
call,tang,box,backwards,5
gay,ignore,testing,messenger,5
south,ode,capacity,words,5
majority,cuisine,head,cage,5
decision,turn,policy,lost,5
gender,manager,commissioner,sequence,5
identity,midst,rate,plate,5
church,tasting,machine,shame,5
organization,sauce,separate,riding,5
away,tender,brother,century,5
middle,wine,russian,concluding,5
home,falling,christianity,note,5
vote,conversation,spring,detail,5
vote,leisurely,department,shelf,5
iran,thread,energy,love,5
parliament,bottle,area,thinking,5
secretary,wine,practices,consult,5
labor,crimson,legal,archive,5
secretary,glow,oil,contact,5
labor,thumping,historical,fortnightly,5
death,tattoo,figures,received,5
hundreds,merge,market,archive,5
africa,designed,place,hurt,5
nations,owner,member,detail,5
power,hull,movement,waltz,5
ngo,cuisine,farm,verse,5
africa,beef,support,hospital,5
energy,forget,system,infection,5
power,meat,system,true,5
ngo,words,government,breakfast,5
meetings,celebration,talks,brown,5
education,cuisine,support,mother,5
president,wife,protest,love,5
group,daughter,laws,extremely,5
group,pastry,government,friend,5
charter,wizard,central,cage,5
schools,wife,farm,notebook,5
coalition,daughter,laws,tribute,5
group,pastry,report,meandering,5
benefit,wizard,police,gallant,5
review,result,police,hidden,5
police,wine,media,abstract,5
department,beverage,death,dream,5
law,dish,home,backwards,5
level,dessert,illegal,hidden,5
vice,grab,deprivation,wheels,5
experience,small,inspiring,true,5
focus,plate,coronavirus,breakfast,5
foundational,meat,critical,fabric,5
police,bland,relationship,backwards,5
violence,pop,relationship,messenger,5
civil,savor,affairs,words,5
rights,classic,affairs,cage,5
local,cream,world,lost,5
green,classic,argentina,sequence,5
democratic,pair,president,plate,5
police,love,video,shame,5
reform,dessert,right,riding,5
legislation,menu,protest,century,5
community,frequently,ministry,concluding,5
student,hangout,affairs,note,5
research,coast,india,detail,5
selection,funk,india,shelf,5
activities,menu,vaccine,love,5
research,dessert,china,thinking,5
roles,flavor,massive,consult,5
upcoming,oak,market,archive,5
leave,dreaming,domestic,contact,5
official,traveling,environment,fortnightly,5
positions,sleep,country,received,5
free,barely,natural,archive,5
jury,slow,level,hurt,5
prison,lost,actors,detail,5
death,easy,work,waltz,5
police,kind,test,verse,5
claim,guru,leave,hospital,5
national,barbecue,performance,infection,5
national,cultivate,challenge,true,5
game,reach,working,breakfast,5
race,hair,technology,brown,5
wall,regional,process,mother,5
street,imagination,india,love,5
climate,tower,research,extremely,5
climate,version,lancaster,friend,5
climate,rabbit,action,cage,5
change,kind,climate,notebook,5
pressure,love,president,tribute,5
political,yesterday,trump,meandering,5
political,diplomatic,technology,gallant,5
action,rabbit,health,hidden,5
committee,pull,trade,abstract,5
executive,immediately,mexico,dream,5
domestic,beer,prisoners,backwards,5
chief,word,response,hidden,5
staff,familiar,knowledge,wheels,5
coronavirus,importance,knowledge,true,5
pandemic,understood,world,breakfast,5
republic,meaning,article,fabric,5
republic,phone,response,backwards,5
fear,chat,response,messenger,5
vice,industry,knowledge,words,5
president,cake,knowledge,cage,5
ethnic,shape,world,lost,5
hurricane,season,response,sequence,5
hurricane,excited,initiative,plate,5
death,narrow,online,shame,5
communities,creative,chief,riding,5
free,expression,world,century,5
talks,taste,extraordinary,concluding,5
means,kill,divided,note,5
environment,completely,force,detail,5
change,smirk,left,shelf,5
environment,wicked,questions,love,5
campaign,cave,uncertainty,thinking,5
campaign,bake,biden,consult,5
transformation,premature,administration,archive,5
world,dried,deal,contact,5
voice,sense,taliban,fortnightly,5
world,witch,taliban,received,5
voice,earth,disease,archive,5
pink,mystical,members,hurt,5
means,animated,members,detail,5
start,series,workers,waltz,5
land,opening,public,verse,5
treaty,sequence,health,hospital,5
home,chapter,vice,infection,5
land,speculation,president,true,5
home,figure,privilege,breakfast,5
choice,ended,members,brown,5
internet,stole,members,mother,5
salt,finally,single,love,5
home,obvious,foreign,extremely,5
kitchen,lonely,east,friend,5
pink,ride,space,cage,5
september,fellow,shining,notebook,5
golden,parent,leave,tribute,5
street,affair,thought,meandering,5
model,episode,race,gallant,5
country,naturally,order,hidden,5
fraud,series,data,abstract,5
change,ended,hundreds,dream,5
pink,friend,college,backwards,5
union,season,data,hidden,5
restrictions,wan,research,wheels,5
natural,undo,credit,true,5
union,episode,utility,breakfast,5
general,series,online,fabric,5
methods,sequel,weapons,backwards,5
dominant,series,process,messenger,5
nature,bier,additional,words,5
peace,suggest,violence,cage,5
mega,friend,away,lost,5
crown,barf,away,sequence,5
formula,oeuvre,online,plate,5
barack,series,services,shame,5
obama,posture,information,riding,5
office,pause,schools,century,5
obama,senseless,coronavirus,concluding,5
secret,oncologist,review,note,5
service,fair,health,detail,5
pink,khan,virtual,shelf,5
action,chateau,free,love,5
ultimate,result,workers,thinking,5
crown,fact,service,consult,5
winner,pop,home,archive,5
radio,spend,employment,contact,5
deep,spoke,positions,fortnightly,5
majority,role,opportunity,received,5
right,robot,local,archive,5
world,writer,side,hurt,5
box,pal,address,detail,5
tank,icy,address,waltz,5
marriage,perfection,individual,verse,5
tank,fair,address,hospital,5
place,music,side,infection,5
customs,alive,street,true,5
opportunity,infamous,mobile,breakfast,5
individual,fair,mobile,brown,5
world,music,race,mother,5
opportunity,alive,order,love,5
mode,love,data,extremely,5
world,dance,hundreds,friend,5
issues,ball,college,cage,5
issues,jealousy,data,notebook,5
colleague,tour,research,tribute,5
colleague,fall,credit,meandering,5
video,polo,south,gallant,5
game,editorial,police,hidden,5
actors,assistant,department,abstract,5
working,resentment,police,dream,5
pink,tour,department,backwards,5
green,episode,rate,hidden,5
crown,cattle,south,wheels,5
crime,sheep,favorite,true,5
focus,ranch,covid,breakfast,5
president,biography,platform,fabric,5
bush,heels,channels,backwards,5
gift,morning,favorite,messenger,5
background,herald,video,words,5
game,episode,dakota,cage,5
supreme,adamant,progressive,lost,5
works,adamant,machine,sequence,5
home,infant,dakota,plate,5
special,round,process,shame,5
grandfather,instance,front,riding,5
double,weeping,block,century,5
wall,waiting,appearance,concluding,5
relationship,secretly,justice,note,5
relationship,heart,court,detail,5
advice,shit,report,shelf,5
trump,slip,area,love,5
points,season,area,thinking,5
chest,pass,home,consult,5
democratic,weigh,side,archive,5
south,calls,community,contact,5
staff,slip,complex,fortnightly,5
senator,season,public,received,5
victory,pass,convention,archive,5
senator,relish,review,hurt,5
away,total,review,detail,5
election,happy,review,waltz,5
points,shit,services,verse,5
democratic,situation,disease,hospital,5
senate,arsenal,investigation,infection,5
candidate,pop,platform,true,5
campaign,expect,district,breakfast,5
campaign,invitation,disease,brown,5
points,boat,surveillance,mother,5
predictions,sunset,department,love,5
performance,rapping,health,extremely,5
political,stick,needs,friend,5
political,dessert,bank,daughter,5
issue,milk,church,landlord,5
september,kid,services,lieu,5
report,fly,church,rent,5
engaging,recording,workers,apartment,5
standing,academy,staff,altogether,5
argentina,lengthy,pay,stream,5
working,complaint,block,abuse,5
crown,marvel,east,lighthouse,5
elastic,lengthy,review,released,5
box,complaint,court,younger,5
school,biased,police,hide,5
support,nomination,investigate,evidence,5
school,fly,change,cleaning,5
right,thief,service,amused,5
right,rain,flag,cage,5
gift,exile,left,notebook,5
anthem,hull,right,tribute,5
mass,bad,work,meandering,5
home,music,left,gallant,5
home,love,left,hidden,5
home,recording,review,abstract,5
home,academy,report,dream,5
world,disastrous,left,backwards,5
health,category,call,hidden,5
leader,fetch,loss,wheels,5
health,bolt,left,true,5
term,cutters,review,breakfast,5
cuban,metal,game,fabric,5
hitler,bum,large,backwards,5
whole,ending,review,messenger,5
native,vert,game,words,5
whole,artist,nation,cage,5
september,sound,panthers,lost,5
accountable,band,president,sequence,5
whole,stallion,mixed,plate,5
movement,hell,martial,shame,5
mobilization,love,review,riding,5
air,imaginary,young,century,5
formative,imaginary,young,concluding,5
recognition,stallion,finer,note,5
home,artists,review,detail,5
report,moment,sidelines,shelf,5
swing,executioner,reading,love,5
toward,marvel,authority,thinking,5
president,feel,post,consult,5
biden,late,committees,archive,5
points,remember,leave,contact,5
works,rain,space,fortnightly,5
mask,exile,school,received,5
order,marvel,left,archive,5
area,shortly,career,hurt,5
right,quote,term,detail,5
works,greatest,works,waltz,5
polarize,player,crisis,verse,5
death,zip,woo,hospital,5
culture,teach,policy,infection,5
communities,innate,home,true,5
pandemic,flight,home,breakfast,5
pandemic,ball,young,brown,5
protests,keeper,young,mother,5
mental,brown,police,love,5
health,trainer,department,extremely,5
animal,alleged,safe,friend,5
wars,treat,district,sound,5
pay,truck,review,sound,5
glass,driver,school,released,5
health,sports,single,window,5
pairing,starved,technology,light,5
image,entertainment,china,doubt,5
vaccine,wayward,russia,curve,5
involvement,cutting,countries,mouth,5
community,brown,mail,forehead,5
works,alleged,ballot,neck,5
deep,sports,primary,throng,5
performance,threatening,election,cleft,5
air,alleged,bernstein,palate,5
soft,misconduct,review,child,5
communities,pump,police,messenger,5
collective,privileged,department,published,5
money,lose,prisoners,literary,5
organizations,moment,trump,existence,5
support,scoop,police,whiff,5
street,goat,review,river,5
communities,basketball,management,smelt,5
communities,remains,experience,sweet,5
natural,goat,garden,forgotten,5
leave,genre,review,mouth,5
home,ride,left,feeling,5
soft,boxing,call,imagine,5
grateful,fat,left,cost,5
home,hundred,review,small,5
supreme,author,review,whiff,5
working,meeting,review,river,5
coalition,huge,talks,finality,5
government,point,district,sweet,5
imperial,pull,additional,thrill,5
military,reader,work,history,5
forces,snarl,anthem,buying,5
pacific,decency,politics,punch,5
china,hiatus,paper,fat,5
socialist,car,social,ship,5
alliance,produced,dilemma,dark,5
founding,stranger,box,perfumed,5
member,decency,area,ruined,5
coalition,words,combat,river,5
biden,mother,surveillance,light,5
presidential,worker,paper,rain,5
campaign,guide,amendment,touching,5
campaign,room,question,drag,5
race,owner,question,queen,5
ranking,competition,society,ship,5
opinion,greater,progressive,dark,5
biden,hold,government,perfumed,5
democrats,tongue,intervention,fall,5
change,summer,address,cover,5
secretary,remove,party,gold,5
biden,disrespectful,destruction,engraving,5
vice,character,video,father,5
charter,send,home,fish,5
argentina,wan,rules,smoking,5
death,hell,game,uncomfortable,5
venezuela,entry,business,squat,5
contract,facility,tax,smell,5
means,span,credit,dear,5
original,rarely,district,love,5
motion,found,council,pretended,5
protests,precious,restrictions,funeral,5
backlash,coach,council,feel,5
protests,camp,judicial,distant,5
president,included,judicial,whiff,5
global,screaming,review,river,5
warming,apologist,online,classic,5
western,season,fraud,disappearing,5
basque,squad,free,scene,5
education,inherent,exchange,composition,5
union,sports,investigation,message,5
social,toe,health,grandmother,5
education,morning,johnson,dear,5
minister,easily,covid,love,5
legislation,sports,strategy,history,5
protest,racer,covid,mythology,5
principles,tour,committee,physics,5
rights,hour,government,intangible,5
freedoms,sanitary,away,afternoon,5
carta,planet,post,rest,5
opposition,greatest,pandemic,pavement,5
education,morning,needs,close,5
action,version,executive,volunteer,5
activist,version,neighbourhood,patrol,5
rally,script,council,dark,5
mp,chocolate,covid,deck,5
states,milk,safety,faith,5
transgender,conjure,issue,cage,5
chest,familiar,council,notebook,5
mp,greatest,law,tribute,5
transgender,broke,health,meandering,5
term,record,covid,gallant,5
rights,swimming,covid,hidden,5
united,length,call,abstract,5
states,pool,conservative,dream,5
transgender,couple,leader,backwards,5
protest,field,prime,hidden,5
action,island,minister,wheels,5
protest,equally,public,true,5
federal,grumpy,health,breakfast,5
government,lacrosse,work,fabric,5
united,telling,roll,backwards,5
states,premier,pork,messenger,5
transgender,lacrosse,capital,words,5
national,strip,video,cage,5
national,team,failed,lost,5
health,cash,pork,sequence,5
service,cash,video,plate,5
johnson,quarter,failed,shame,5
universal,hail,seeking,riding,5
credit,recent,gift,century,5
leave,worldwide,public,concluding,5
prime,cut,health,note,5
minister,injured,covid,detail,5
covid,twenty,sun,shelf,5
climate,track,greenhouse,love,5
change,kid,global,thinking,5
luxemburg,quarantine,workers,consult,5
luxemburg,hiatus,changes,archive,5
council,elite,place,contact,5
socialist,unbroken,global,fortnightly,5
alliance,temperature,right,received,5
socialist,twenty,jobs,archive,5
alliance,condition,production,hurt,5
activist,track,changes,detail,5
activist,field,place,waltz,5
green,meter,market,verse,5
left,final,health,hospital,5
wall,ball,model,infection,5
community,sound,model,true,5
members,tone,video,breakfast,5
members,hopeful,tax,brown,5
general,joined,pay,mother,5
report,conversation,tax,love,5
report,elderly,additional,extremely,5
management,protect,power,friend,5
administration,label,immigrants,improvement,5
federal,love,immigrants,stuck,5
department,glowing,world,cock,5
green,dirt,central,finally,5
left,expected,roots,speaking,5
general,asterisk,wall,palace,5
country,damage,party,remember,5
campaign,baseball,party,conversation,5
campaign,bickering,class,verbatim,5
greenhouse,associate,roots,slightly,5
member,associate,debt,lose,5
offshore,food,covid,phone,5
conference,drink,tariffs,pursuit,5
member,symbol,foreign,granted,5
socialism,powerful,bias,pursuing,5
liberty,immediately,risk,pursuing,5
party,keeping,debt,palace,5
socialist,spot,covid,remember,5
zealand,obvious,bias,conversation,5
selection,closure,risk,verbatim,5
prison,cartel,report,void,5
rules,stronghold,australia,crush,5
international,striking,topic,hold,5
crime,closure,wants,derivative,5
syria,tactics,issues,send,5
agency,include,issues,living,5
international,porch,pandemic,bearing,5
crime,surprise,presidential,suffering,5
syria,barely,direct,previously,5
left,deluge,stimulus,living,5
activist,brown,checks,dear,5
relationships,leather,president,mother,5
police,skirt,issues,subsequent,5
court,phone,issues,connection,5
activist,bed,question,magical,5
working,pretending,working,release,5
agency,coexist,home,ultimately,5
home,crying,working,drama,5
authority,bus,working,release,5
iron,striking,economics,release,5
east,changed,hurricane,release,5
iron,pedigree,research,lighthouse,5
civil,role,bank,released,5
society,harper,inflation,car,5
zapatismo,bazaar,balances,vehicle,5
feminism,cobalt,post,unit,5
riker,role,article,mess,5
politics,dazed,chief,couple,5
zapatismo,meeting,response,understanding,5
feminism,queen,covid,simply,5
crisis,complicated,prices,scrape,5
slavery,inspired,chief,rent,5
muslim,pussy,global,lack,5
access,crack,strategist,feed,5
capture,odds,goldman,intend,5
trade,refusing,goldman,modest,5
image,turn,ratio,result,5
modern,wife,money,detail,5
kwame,princess,balances,love,5
defeat,season,spending,cleft,5
catholic,episode,recession,stain,5
trade,companion,pandemic,joy,5
networks,combination,work,cleft,5
spinoza,intoxicated,report,stain,5
rousseau,mother,working,joy,5
rousseau,eldest,work,bones,5
diderot,princess,capital,scotch,5
winter,eldest,incomes,valley,5
bull,sister,income,queen,5
land,nephew,politics,maternity,5
revolution,mother,middle,crack,5
revolution,mother,fear,beer,5
movement,elder,violence,fleet,5
left,sister,dynamic,god,5
wing,love,left,horn,5
members,sister,right,perfume,5
members,married,game,dust,5
organization,pair,front,retain,5
cross,meeting,issue,evident,5
member,baritone,religious,prayer,5
cross,princess,appeal,solar,5
armed,mad,treasury,mouth,5
organization,princess,gdp,ear,5
cities,informed,paper,field,5
information,pushing,limit,turban,5
organization,break,debt,symbol,5
political,bedroom,government,numerous,5
political,perilous,failed,negotiation,5
prisoners,situation,pay,mystic,5
party,affection,primary,sacred,5
left,telling,domestic,dark,5
away,unrest,prices,dark,5
states,arrival,domestic,pin,5
goldman,tragic,actors,lapel,5
goldman,series,interest,bayonet,5
movement,emotional,inflation,fixed,5
left,reporter,deficit,present,5
wing,spoke,myth,engaged,5
members,fact,economy,purpose,5
members,despairing,employment,fret,5
organization,descent,economic,late,5
cross,true,studies,suspended,5
member,desperate,trends,moment,5
cross,written,public,arrive,5
armed,directed,opinion,pillar,5
organization,feature,discussion,lapel,5
cities,debut,centre,close,5
information,blast,social,artists,5
organization,murder,safety,memoir,5
political,roads,net,memory,5
political,style,gain,reprint,5
prisoners,script,decline,edition,5
party,true,household,wife,5
left,grief,capital,married,5
away,learning,economics,obituary,5
south,giving,report,daily,5
poverty,bite,health,telegraph,5
means,roughly,protests,painter,5
south,measure,space,edition,5
prices,car,health,wife,5
land,crash,economic,assistant,5
laws,badly,additional,professor,5
land,disfigured,fiscal,included,5
law,crippled,credit,painter,5
land,naive,points,photographer,5
capitalism,equally,force,wife,5
progressive,coming,positive,interpreter,5
national,fact,credit,close,5
national,evidence,school,artists,5
bourgeoisie,murderer,pork,grand,5
national,unique,chicken,daughter,5
national,deputy,courts,daughter,5
democratic,sheriff,relationship,descendant,5
movement,prostitute,relationship,loving,5
clear,character,covid,character,5
special,prostitute,comprehensive,interpreter,5
death,character,internet,studio,5
declaration,shot,normal,vista,5
presidency,grisly,changes,published,5
armed,blank,market,descendant,5
opposition,hollow,health,married,5
national,light,model,delay,5
national,version,model,partly,5
democratic,film,video,polish,5
movement,cruise,announcement,painter,5
reputation,continue,organization,essay,5
president,butcher,management,regulars,5
democratic,rest,country,included,5
movement,dynamic,priority,close,5
senate,foil,energy,version,5
coalition,tired,forward,father,5
revolutionary,detective,court,married,5
leader,pair,space,artists,5
stage,murder,right,intellectual,5
speech,hurt,stage,wife,5
address,murder,leadership,gifted,5
youth,wife,dying,artist,5
leaders,mum,career,designer,5
flag,apprehensive,video,literary,5
organizations,stuff,popular,criticism,5
political,grub,place,descendent,5
political,tunnel,magistrate,photographer,5
president,lunatic,action,wife,5
crime,bed,wars,writer,5
poor,tree,split,firmament,5
secretary,professor,coronavirus,widow,5
general,suddenly,vaccine,close,5
power,tunnel,china,firmament,5
relationship,lunatic,conference,widow,5
relationship,period,deal,future,5
prime,penultimate,covid,wife,5
minister,film,barack,married,5
central,triumph,obama,architecture,5
minister,smell,technology,revision,5
politician,scent,listening,village,5
young,accidentally,market,bridge,5
young,true,audio,stream,5
criminal,desperate,hand,perplexing,5
administration,prostitution,online,ways,5
minister,romp,box,turning,5
government,film,box,abandon,5
politician,directed,gift,dear,5
spin,stars,special,beard,5
authority,film,kitchen,totally,5
chief,traces,box,electric,5
judge,comedy,technology,delightful,5
prisoners,scene,technology,pop,5
prison,drama,vice,solo,5
public,slowly,president,gallery,5
relations,spoof,empowerment,visual,5
gun,cinema,vice,electric,5
power,stars,president,dear,5
changes,drama,estates,biography,5
initiative,ensemble,firm,sequence,5
workers,cast,business,sense,5
initiative,film,report,cry,5
workers,hidden,native,biography,5
initiative,sail,responsible,cry,5
place,partner,discrimination,soap,5
address,film,problem,wind,5
social,harrowing,chief,slant,5
september,film,staff,crude,5
pandemic,tiny,agency,collection,5
pacific,furniture,cross,outbreak,5
exchange,heart,office,cholera,5
union,heart,labor,sullen,5
articles,writing,vice,lattice,5
independent,result,president,wise,5
solidarity,film,experience,precocious,5
campaign,directed,front,cuckoo,5
campaign,drink,advertising,song,5
woods,journalist,value,railway,5
activist,brilliant,change,experiences,5
members,turn,digital,village,5
members,superb,health,stone,5
public,pupil,vice,bass,5
petition,screen,agency,dream,5
middle,partner,front,hollow,5
identity,remarkable,vice,mourn,5
power,comedy,president,obliged,5
changes,reach,digital,desist,5
strike,brilliant,media,song,5
platform,falsely,strauss,sullen,5
workers,accused,vice,narrow,5
initiative,academy,president,peak,5
platform,award,group,peak,5
workers,nomination,party,sense,5
initiative,excellent,works,club,5
ministry,film,labor,obvious,5
internal,strobe,reform,reasons,5
head,grandmother,spaces,establish,5
central,memoir,relationships,aspects,5
election,journalist,home,masterpiece,5
commission,brilliant,deal,churchyard,5
recount,helm,estate,piano,5
equal,gigantic,property,wife,5
services,label,home,wife,5
pensions,twist,gains,wife,5
military,real,sectors,princess,5
quest,hacienda,sectors,studio,5
justice,factory,local,occasion,5
world,confront,media,couple,5
western,reach,winter,principal,5
mexico,helm,service,symphony,5
prime,debut,winter,orchestra,5
minister,directed,credit,cage,5
jobs,couple,private,notebook,5
distribution,living,death,tribute,5
workers,lonely,secret,meandering,5
covid,widow,video,gallant,5
australia,sweet,left,hidden,5
world,bale,army,abstract,5
leaders,ensemble,away,dream,5
natural,homage,states,backwards,5
social,vivid,covid,hidden,5
abortion,prevent,president,wheels,5
violence,cast,law,true,5
australian,musician,student,breakfast,5
conditions,unexpected,allegation,fabric,5
laws,visit,strict,backwards,5
restrictions,falsely,laws,messenger,5
workers,partner,land,words,5
abortion,film,political,cage,5
term,laugh,political,lost,5
single,loud,security,sequence,5
social,love,security,plate,5
planning,fight,insurgency,shame,5
abortion,sail,box,riding,5
coercion,methodical,putin,century,5
articles,gold,russia,concluding,5
single,gold,world,note,5
atlantic,sole,vaccine,detail,5
coercion,classic,colleague,shelf,5
right,jeans,away,love,5
global,perfect,master,thinking,5
development,pair,science,consult,5
abortion,bet,mask,archive,5
abortion,perfect,system,contact,5
argentina,beaker,system,fortnightly,5
abortion,wear,south,received,5
abortion,cost,system,archive,5
workers,princess,system,hurt,5
qualitative,princess,south,detail,5
abortion,sports,normal,waltz,5
abortion,edition,system,verse,5
research,previously,system,hospital,5
experience,lexicon,systems,infection,5
roe,archetype,middle,true,5
labor,sex,air,breakfast,5
household,symbol,away,brown,5
household,genuine,master,mother,5
bureau,existence,science,love,5
safe,poster,mask,extremely,5
division,professional,system,friend,5
labor,honest,system,balcony,5
development,professor,south,feet,5
government,scale,system,glow,5
india,superstar,system,bawdy,5
illegal,forthcoming,south,cloister,5
workers,released,normal,keyhole,5
occupy,episode,system,immaculate,5
deep,hour,system,idea,5
strike,interview,systems,feeling,5
local,mysterious,middle,gradual,5
prison,small,air,cellular,5
minister,opposite,class,numbness,5
minister,vampire,presidential,field,5
party,twilight,race,gallery,5
solution,idea,group,entertaining,5
minister,sitting,support,noon,5
education,outstanding,states,pianist,5
away,actor,states,shot,5
question,close,michigan,sculpture,5
communism,guest,trump,experience,5
violence,avid,call,spectator,5
rape,conservatory,trump,undercurrent,5
racism,twins,front,continued,5
dialectic,sister,secretary,heed,5
race,doctor,presidential,opera,5
class,history,poll,scene,5
housework,surgery,front,listener,5
feminism,accident,election,inability,5
feminism,explosion,secretary,sever,5
caste,role,democrat,music,5
manifesto,newcomer,press,urgency,5
collective,birthplace,conference,worldly,5
race,insurance,republican,charming,5
class,mother,party,opera,5
socialist,accountant,ward,cage,5
feminism,humble,formal,notebook,5
socialist,newcomer,legal,tribute,5
feminism,lynch,elections,meandering,5
sexism,rival,republican,gallant,5
liberation,spy,election,hidden,5
socialist,audition,south,abstract,5
feminism,monologue,australia,dream,5
housework,rant,legislature,backwards,5
feminism,ready,secretary,hidden,5
question,script,democrat,wheels,5
socialism,outcome,democrat,true,5
defense,writer,fraud,breakfast,5
equality,bridge,election,fabric,5
socialism,script,church,backwards,5
marx,assistant,clear,messenger,5
marx,navy,hand,words,5
question,role,air,cage,5
movement,running,election,lost,5
questions,series,sun,sequence,5
participation,leather,military,plate,5
participation,grey,thought,shame,5
question,leather,leaders,riding,5
goldman,shirt,thought,century,5
goldman,stuff,leaders,concluding,5
emancipation,admire,east,note,5
alliance,admire,police,detail,5
struggle,invite,states,shelf,5
double,manage,conditions,love,5
jeopardy,arsenal,positive,thinking,5
feminism,role,conditions,consult,5
dual,orange,practices,archive,5
systems,slice,activities,contact,5
marriage,bloody,services,fortnightly,5
marxism,juice,pandemic,received,5
feminism,lemon,right,archive,5
marriage,juice,challenge,hurt,5
marxism,rise,call,detail,5
feminism,alcohol,reading,waltz,5
young,fat,testing,verse,5
young,ensure,bank,hospital,5
marriage,quality,church,infection,5
movement,clipper,services,true,5
psychology,sort,workers,breakfast,5
movement,hair,staff,brown,5
psychology,expected,pay,mother,5
marriage,delivery,success,love,5
social,hair,national,extremely,5
marxism,spot,national,friend,5
